instrument_id	canonical_instrument	provider_name
audcad	AUDCAD	AUD/CAD
audchf	AUDCHF	AUD/CHF
audnzd	AUDNZD	AUD/NZD
cadchf	CADCHF	CAD/CHF
chfjpy	CHFJPY	CHF/JPY
euraud	EURAUD	EUR/AUD
eurcad	EURCAD	EUR/CAD
eurchf	EURCHF	EUR/CHF
eurnzd	EURNZD	EUR/NZD
gbpaud	GBPAUD	GBP/AUD
gbpcad	GBPCAD	GBP/CAD
gbpnzd	GBPNZD	GBP/NZD
nzdcad	NZDCAD	NZD/CAD
nzdchf	NZDCHF	NZD/CHF
nzdjpy	NZDJPY	NZD/JPY
usdcnh	USDCNH	USD/CNH
usdhkd	USDHKD	USD/HKD
usdmxn	USDMXN	USD/MXN
usdzar	USDZAR	USD/ZAR
eurz ar	EURZAR	EUR/ZAR
aaplususd	AAPL.US	AAPL.US/USD
msftususd	MSFT.US	MSFT.US/USD
nvdaususd	NVDA.US	NVDA.US/USD
amznususd	AMZN.US	AMZN.US/USD
orclususd	ORCL.US	ORCL.US/USD
googlususd	GOOGL.US	GOOGL.US/USD
tslaususd	TSLA.US	TSLA.US/USD
jpmususd	JPM.US	JPM.US/USD
vususd	V.US	V.US/USD
maususd	MA.US	MA.US/USD
llyususd	LLY.US	LLY.US/USD
avgoususd	AVGO.US	AVGO.US/USD
wmtususd	WMT.US	WMT.US/USD
xomususd	XOM.US	XOM.US/USD
unhususd	UNH.US	UNH.US/USD
asmlnleur	ASML.NL	ASML.NL/EUR
sapdeeur	SAP.DE	SAP.DE/EUR
siedeeur	SIE.DE	SIE.DE/EUR
hsbagbgbx	HSBA.GB	HSBA.GB/GBX
0700hkhkd	0700.HK	0700.HK/HKD
ausidxaud	AUS.IDX	AUS.IDX/AUD
cheidxchf	CHE.IDX	CHE.IDX/CHF
chiidxusd	CHI.IDX	CHI.IDX/USD
dollaridxusd	DOLLAR.IDX	DOLLAR.IDX/USD
fraidxeur	FRA.IDX	FRA.IDX/EUR
hkgidxhkd	HKG.IDX	HKG.IDX/HKD
nldidxeur	NLD.IDX	NLD.IDX/EUR
ussc2000idxusd	USSC2000.IDX	USSC2000.IDX/USD
cocoacmdusd	COCOA.CMD	COCOA.CMD/USD
coffeecmdusx	COFFEE.CMD	COFFEE.CMD/USX
coppercmdusd	COPPER.CMD	COPPER.CMD/USD
dieselcmdusd	DIESEL.CMD	DIESEL.CMD/USD
soybeancmdusx	SOYBEAN.CMD	SOYBEAN.CMD/USX
sugarcmdusd	SUGAR.CMD	SUGAR.CMD/USD
xaueur	XAUEUR	XAU/EUR
xaugbp	XAUGBP	XAU/GBP
xageur	XAGEUR	XAG/EUR
xagjpy	XAGJPY	XAG/JPY
adausd	ADAUSD	ADA/USD
bchusd	BCHUSD	BCH/USD
ltcusd	LTCUSD	LTC/USD
btceur	BTCEUR	BTC/EUR
btcgbp	BTCGBP	BTC/GBP
etheur	ETHEUR	ETH/EUR
ethgbp	ETHGBP	ETH/GBP
xlmusd	XLMUSD	XLM/USD
