asset,asset_class,exposure_group,mean_abs_core_corr,max_abs_core_corr,residual_variance_ratio,tail_codrawdown_frequency,rolling_vol_corr_abs,trend_chop_difference,session_novelty,stale_return_share,local_gap_gt5m_share,daily_observations,candidate_density_per_10000_m1,strategy_family_breadth,core_underlying_duplicate,anchor,structural_score,joint_selection_score,pairwise_selected_corr_at_entry,selected_order,selected
COCOA.CMD,COMMODITY,COCOA.CMD,0.112805911190175,0.22816419321985032,0.8542893986385601,0.5,0.05038001432438786,0.13840616054860078,0.3612168403342477,0.0060143787465397,1.9915161412383247e-05,97,670.9417879831916,9,0.0,WTI,0.8669047619047618,0.8919047619047619,0.0,1.0,True
SUGAR.CMD,COMMODITY,SUGAR.CMD,0.07784379144332708,0.2146403507786027,0.929917790789154,0.5,0.089016525925878,0.03078666227587909,0.36121684033424784,0.0143613523895214,0.0004498736893103,114,732.9480568917189,9,0.0,WTI,0.8395238095238093,0.8377919428901487,0.007872121062093953,2.0,True
COFFEE.CMD,COMMODITY,COFFEE.CMD,0.07734041301947404,0.26947189143958183,0.8988381744922529,0.4166666666666667,0.31998755255249656,0.06683235346959787,0.36121684033424784,0.0030412956652376,0.0,99,631.526876992415,9,0.0,WTI,0.8408333333333333,0.8087817657854247,0.14568894339958466,3.0,True
AAPL.US,EQUITY,AAPL.US,0.1439693275150896,0.4607645204402717,0.7670989764310371,0.5833333333333334,0.013987318717633404,0.08863822571374946,0.6215268139947112,0.0201339507193649,2.0671407309409625e-05,124,679.4691582602943,9,0.0,US500,0.7769047619047619,0.7915189236151416,0.04720835586191038,4.0,True
SOYBEAN.CMD,COMMODITY,SOYBEAN.CMD,0.12126305953936863,0.24409106371297967,0.8915585377008006,0.75,0.2980476280841869,0.11018701979150419,0.13368193106695186,0.0405156817732642,0.0209495720388585,97,801.4959636347052,9,0.0,WTI,0.7447619047619046,0.7215850894257542,0.10534916061886593,5.0,True
MSFT.US,EQUITY,MSFT.US,0.14146603962580487,0.41321870848589637,0.8356203367376247,0.8181818181818182,0.15003121669314712,0.030322328147329436,0.6215268139947112,0.0142668307580108,2.279046446966589e-05,112,692.8301198778431,9,0.0,US500,0.7307142857142855,0.7084675261904109,0.10112163419943032,6.0,True
USDCNH,FX,USDCNH,0.1649001691403319,0.4895437955917842,0.671843168165512,0.5555555555555556,0.21715923825721847,0.1814384416188053,0.10639429245828703,0.0423307957654335,0.0001115142143451,112,663.5095753538718,9,0.0,USDJPY,0.6704761904761906,0.6751668092386766,0.09231536926142712,7.0,True
TSLA.US,EQUITY,TSLA.US,0.185248999217482,0.48035339161058527,0.7310394553554193,0.5714285714285714,0.37823580896565173,0.09644505342432169,0.6215268139947112,0.0064617482289474,2.964104692177728e-05,86,700.417938761597,9,0.0,US500,0.7009523809523809,0.67020283423367,0.13977066690323142,8.0,True
V.US,EQUITY,V.US,0.14516636252144519,0.6220890765731616,0.73644367976408,0.5,0.11377521503285307,0.022798701211360434,0.6215268139947112,0.0323104639829882,2.9534244957027676e-05,87,696.1221536371422,9,0.0,US500,0.6845238095238095,0.6531883036828131,0.1424341174590749,9.0,True
AUDNZD,FX,AUDNZD,0.14057453641434636,0.35246021913161363,0.771018915594155,0.6,0.5343982758853539,0.07959700246981616,0.12194177060060013,0.0715502449068729,0.000330702274358,135,627.3359747917511,9,0.0,AUDUSD,0.6557142857142856,0.6374935842214582,0.08282137042194246,10.0,True
GBPNZD,FX,GBPNZD,0.14040952444849797,0.4865507681544704,0.6716690917118568,0.3,0.21783082269950402,0.01789745808582685,0.058228171754593515,0.0259316312149716,0.0003539706990921,127,668.9390711546655,9,0.0,GBPUSD,0.6585714285714285,0.6271983527179902,0.1426048902429012,11.0,True
EURCHF,FX,EURCHF,0.11824560374879753,0.4112540264572103,0.7979280168509316,0.6363636363636364,0.12614691031814157,0.0009443953597652877,0.06733856849916361,0.1079947240283322,0.0002963376157024,145,638.2879820570479,9,0.0,USDCHF,0.6347619047619049,0.6119308209177045,0.10377765383727473,12.0,True
FRA.IDX,INDEX,EU_INDEX,0.18116425915163634,0.6788796766763725,0.5574446570439523,0.45454545454545453,0.36975398460003955,0.03134032722425195,0.3109466223136669,0.0034356812294753,0.0003034671117517,111,705.5610348228511,9,0.0,GER40,0.6016666666666667,0.5977889829923889,0.13126219851944446,13.0,True
NVDA.US,EQUITY,NVDA.US,0.19378270216189045,0.6008370567740715,0.6272323196870946,0.75,0.22902917205776258,0.04813298365697877,0.6215268139947112,0.0193011933996811,2.154151049071561e-05,119,657.8777303864547,9,0.0,US500,0.5980952380952381,0.5618178773729782,0.16489709419209073,14.0,True
CHI.IDX,INDEX,CHI.IDX,0.18103744801645602,0.4344058463017759,0.7380563026247061,0.8181818181818182,0.5242964073516823,0.013185571424368131,0.3653292130599507,0.0192949253994102,0.0018573126182826,105,642.753399938383,9,0.0,US500,0.5830952380952379,0.5424712611801781,0.184654440522999,15.0,True
