instrument_id	canonical_instrument	provider_name	role	selected_order
cocoacmdusd	COCOA.CMD	COCOA.CMD/USD	CANDIDATE	1
sugarcmdusd	SUGAR.CMD	SUGAR.CMD/USD	CANDIDATE	2
coffeecmdusx	COFFEE.CMD	COFFEE.CMD/USX	CANDIDATE	3
aaplususd	AAPL.US	AAPL.US/USD	CANDIDATE	4
soybeancmdusx	SOYBEAN.CMD	SOYBEAN.CMD/USX	CANDIDATE	5
msftususd	MSFT.US	MSFT.US/USD	CANDIDATE	6
usdcnh	USDCNH	USD/CNH	CANDIDATE	7
tslaususd	TSLA.US	TSLA.US/USD	CANDIDATE	8
vususd	V.US	V.US/USD	CANDIDATE	9
audnzd	AUDNZD	AUD/NZD	CANDIDATE	10
gbpnzd	GBPNZD	GBP/NZD	CANDIDATE	11
eurchf	EURCHF	EUR/CHF	CANDIDATE	12
fraidxeur	FRA.IDX	FRA.IDX/EUR	CANDIDATE	13
nvdaususd	NVDA.US	NVDA.US/USD	CANDIDATE	14
chiidxusd	CHI.IDX	CHI.IDX/USD	CANDIDATE	15
dieselcmdusd	DIESEL.CMD	DIESEL.CMD/USD	CANDIDATE	16
