asset,class,m15_rows,selected,strategy,addon,train_n,val_n,holdout_n,holdout_stress_mean_r,holdout_base_mean_r,reason,train_mean_r,val_mean_r,val_pf,holdout_stress_pf,holdout_base_pf
EURUSD,FX,24223,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
GBPUSD,FX,24403,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
USDJPY,FX,24599,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
AUDUSD,FX,24222,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
USDCAD,FX,24596,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
USDCHF,FX,24501,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
NZDUSD,FX,24580,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
EURJPY,FX,24112,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
GBPJPY,FX,23908,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
EURGBP,FX,23567,True,"mean_reversion|{""hold"": 32, ""stop"": 1.35, ""target"": 1.9, ""z"": 2.6}",False,167,48,39,0.10295337408607985,0.16295337408607988,SELECTED_FROM_TRAIN_VALIDATION_ONLY,0.03073000628081313,0.06478733591959297,1.1280276708168182,1.2156381089880381,1.3725194366563533
AUDJPY,FX,24317,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
CADJPY,FX,24189,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
GBPCHF,FX,23921,True,"mean_reversion|{""hold"": 32, ""stop"": 1.35, ""target"": 1.9, ""z"": 2.6}",False,136,53,44,0.047045454545479766,0.10704545454547972,SELECTED_FROM_TRAIN_VALIDATION_ONLY,0.13917389600905306,0.2564150943396183,1.67177459218979,1.0982439487423439,1.2451847995836178
XAUUSD,METAL,23151,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
XAGUSD,METAL,23248,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
BTCUSD,CRYPTO,34543,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
ETHUSD,CRYPTO,34543,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
SOLUSD,CRYPTO,34543,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
BNBUSD,CRYPTO,34543,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
XRPUSD,CRYPTO,34543,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
US100,INDEX,22432,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
US500,INDEX,22247,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
US30,INDEX,20335,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
GER40,INDEX,21893,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
UK100,INDEX,19522,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
JP225,INDEX,22506,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
WTI,ENERGY,23290,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
BRENT,ENERGY,21277,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
NATGAS,ENERGY,23112,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
V75,SYNTHETIC,34542,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
V50,SYNTHETIC,34542,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
V100,SYNTHETIC,34542,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
V25,SYNTHETIC,34542,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
V10,SYNTHETIC,34542,False,NONE,False,0,0,0,,,NO_POSITIVE_TRAIN_VALIDATION_EDGE,,,,,
