week_start,week_end,start_equity,end_equity,weekly_return_pct,campaigns,ge_5pct,ge_10pct,month,week_in_month
2026-06-01 00:00:00+00:00,2026-06-07 23:59:59+00:00,100.0,98.91293821709756,-1.0870617829024432,10,False,False,2026-06,1
2026-06-08 00:00:00+00:00,2026-06-14 23:59:59+00:00,98.91293821709756,97.90136393715395,-1.0226915691488037,10,False,False,2026-06,2
2026-06-15 00:00:00+00:00,2026-06-21 23:59:59+00:00,97.90136393715395,97.33684766149184,-0.5766173758564586,5,False,False,2026-06,3
2026-06-22 00:00:00+00:00,2026-06-28 23:59:59+00:00,97.33684766149184,97.2219383390614,-0.11805326060082555,12,False,False,2026-06,4
2026-06-29 00:00:00+00:00,2026-07-05 23:59:59+00:00,97.2219383390614,97.18573652484534,-0.03723626049277895,8,False,False,2026-06,5
2026-07-06 00:00:00+00:00,2026-07-12 23:59:59+00:00,97.18573652484534,98.35154844781685,1.1995710118155811,5,False,False,2026-07,1
2026-07-13 00:00:00+00:00,2026-07-19 23:59:59+00:00,98.35154844781685,99.33937544768554,1.004383779877971,7,False,False,2026-07,2
2026-07-20 00:00:00+00:00,2026-07-26 23:59:59+00:00,99.33937544768554,99.07291035155959,-0.26823713650815373,8,False,False,2026-07,3
2026-07-27 00:00:00+00:00,2026-08-02 23:59:59+00:00,99.07291035155959,99.8441746285453,0.7784814983721411,9,False,False,2026-07,4
2026-08-03 00:00:00+00:00,2026-08-09 23:59:59+00:00,99.8441746285453,100.61720293196763,0.7742347576092934,5,False,False,2026-08,1
2026-08-10 00:00:00+00:00,2026-08-16 23:59:59+00:00,100.61720293196763,100.7466970242354,0.12869975361502473,4,False,False,2026-08,2
