window,start_week,end_week,weeks,compounded_return_pct,start_equity_normalized,end_equity_normalized,mean_week_pct,median_week_pct,positive_weeks,weeks_ge5,weeks_ge10,max_weekly_dd_pct
1,2026-02-16,2026-04-27,11,151.2997031258902,100.0,251.2997031258902,8.78344351073971,8.898370848845062,11,8,5,-1.9871548200449562
2,2026-02-23,2026-05-04,11,167.9421827139524,100.0,267.9421827139524,9.415233225565075,10.174746945367685,11,9,6,-1.9871548200449562
3,2026-03-02,2026-05-11,11,187.98831759059036,100.0,287.9883175905904,10.123661462251528,10.679845111984921,11,10,7,-2.3539005853497996
4,2026-03-09,2026-05-18,11,175.42697391050393,100.0,275.42697391050393,9.691854217152697,10.679845111984921,11,9,7,-2.3539005853497996
5,2026-03-16,2026-05-25,11,175.8156527707841,100.0,275.8156527707841,9.706053300469947,10.836035028474678,11,9,7,-2.3539005853497996
6,2026-03-23,2026-06-01,11,155.60480206840853,100.0,255.60480206840853,8.97212258877385,10.836035028474678,11,8,6,-2.8836149248276044
7,2026-03-30,2026-06-08,11,156.41906933186488,100.0,256.4190693318649,9.004249390786388,10.836035028474678,11,8,6,-2.8836149248276044
8,2026-04-06,2026-06-15,11,168.24399373080433,100.0,268.24399373080433,9.45429124972222,11.286767215280303,11,8,7,-2.8836149248276044
9,2026-04-13,2026-06-22,11,183.94588563001153,100.0,283.9458856300115,10.008843328773361,11.286767215280303,11,9,8,-2.8836149248276044
10,2026-04-20,2026-06-29,11,181.0157627112519,100.0,281.0157627112519,9.906690441278316,11.286767215280303,11,9,8,-2.9475910077805922
11,2026-04-27,2026-07-06,11,184.74673867776653,100.0,284.7467386777665,10.043803873128267,11.286767215280303,11,9,8,-2.9475910077805922
12,2026-05-04,2026-07-13,11,172.40789908330964,100.0,272.40789908330964,9.599522710017213,10.836035028474678,11,9,7,-2.9475910077805922
13,2026-05-11,2026-07-20,11,178.48272616065057,100.0,278.4827261606506,9.826357588312037,10.836035028474678,11,9,7,-2.9475910077805922
14,2026-05-18,2026-07-27,11,175.07457101903213,100.0,275.07457101903213,9.701802584354583,10.582130636695908,11,9,7,-2.9475910077805922
15,2026-05-25,2026-08-03,11,197.83230895474983,100.0,297.83230895474986,10.485122097008377,10.836035028474678,11,10,8,-2.9475910077805922
16,2026-06-01,2026-08-10,11,212.75588274483837,100.0,312.75588274483835,10.990003443022816,11.286767215280303,11,10,8,-2.9475910077805922
