canonical_instrument,asset_class,quant_v2_reference,execution_domain
EURUSD,FX,true,CORE
GBPUSD,FX,true,CORE
USDJPY,FX,true,CORE
AUDUSD,FX,true,CORE
USDCAD,FX,true,CORE
USDCHF,FX,true,CORE
NZDUSD,FX,true,CORE
EURJPY,FX,true,CORE
GBPJPY,FX,true,CORE
EURGBP,FX,true,CORE
AUDJPY,FX,true,CORE
CADJPY,FX,true,CORE
GBPCHF,FX,true,CORE
XAUUSD,METAL,true,CORE
XAGUSD,METAL,true,CORE
BTCUSD,CRYPTO,true,CORE
ETHUSD,CRYPTO,true,CORE
SOLUSD,CRYPTO,true,CORE
BNBUSD,CRYPTO,true,CORE
XRPUSD,CRYPTO,true,CORE
US100,INDEX,true,CORE
US500,INDEX,true,CORE
US30,INDEX,true,CORE
GER40,INDEX,true,CORE
UK100,INDEX,true,CORE
JP225,INDEX,true,CORE
WTI,ENERGY,true,CORE
BRENT,ENERGY,true,CORE
NATGAS,ENERGY,true,CORE
V75,SYNTHETIC,true,DERIV_OPTIONAL
V50,SYNTHETIC,true,DERIV_OPTIONAL
V100,SYNTHETIC,true,DERIV_OPTIONAL
V25,SYNTHETIC,true,DERIV_OPTIONAL
V10,SYNTHETIC,true,DERIV_OPTIONAL
