asset,candidate_count,playbooks_triggered,families_triggered,families,playbooks
EURUSD,7619,18,10,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
GBPUSD,7678,18,10,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
USDJPY,7184,18,10,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
AUDUSD,8093,18,10,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
USDCAD,8980,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
USDCHF,8808,18,10,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
NZDUSD,8456,18,10,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
EURJPY,7572,18,10,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
GBPJPY,7775,18,10,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
EURGBP,7726,18,10,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
