asset,strategy_family,applicable,state,reason,required_evidence
EURUSD,SUPPLY_DEMAND,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
EURUSD,LIQUIDITY_STRUCTURE,True,EXECUTED_TRIGGERED,,M1_M5_M15_OHLC+SPREAD
EURUSD,TREND_FOLLOWING,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
EURUSD,MOMENTUM_PULLBACK,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
EURUSD,BREAKOUT_RETEST,True,EXECUTED_TRIGGERED,,M1_M5_M15_OHLC+SPREAD
EURUSD,MEAN_REVERSION,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
EURUSD,VOLATILITY_REGIME,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
EURUSD,SESSION_TIME,True,EXECUTED_TRIGGERED,,M1+ASSET_MARKET_CALENDAR+DST
EURUSD,ORDER_FLOW_MICROSTRUCTURE,True,DATA_GATED,BID_ASK_TICKS+SPREAD+OPTIONAL_DEPTH,BID_ASK_TICKS+SPREAD+OPTIONAL_DEPTH
EURUSD,RELATIVE_VALUE_PAIRS,True,EXECUTED_TRIGGERED,,SYNCHRONIZED_PEER_PATHS
EURUSD,INTERMARKET,True,EXECUTED_NO_TRIGGER,,SYNCHRONIZED_CROSS_ASSET+FACTOR_FEEDS
EURUSD,CARRY_VALUE,True,DATA_GATED,RATES+SWAPS+FORWARDS,RATES+SWAPS+FORWARDS
EURUSD,CRYPTO_FUNDING_BASIS,False,NON_NATIVE_FAMILY_GATED,ASSET_CLASS_NOT_NATIVE_FOR_FAMILY,PERP_FUNDING+BASIS+OI+LIQUIDATIONS
EURUSD,EVENT_RESPONSE,True,DATA_GATED,MACRO+CENTRAL_BANK_EVENT_FEED,MACRO+CENTRAL_BANK_EVENT_FEED
EURUSD,ENSEMBLE_REGIME,True,EXECUTED_TRIGGERED,,SURVIVING_FAMILY_SCORES+REGIME_STATE
GBPUSD,SUPPLY_DEMAND,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
GBPUSD,LIQUIDITY_STRUCTURE,True,EXECUTED_TRIGGERED,,M1_M5_M15_OHLC+SPREAD
