asset,state,confirmed_configurations,candidate_families_seen
EURUSD,VALIDATED_CONFIG_PRESENT,2,11
GBPUSD,VALIDATED_CONFIG_PRESENT,3,11
USDJPY,VALIDATED_CONFIG_PRESENT,3,11
AUDUSD,VALIDATED_CONFIG_PRESENT,2,11
USDCAD,VALIDATED_CONFIG_PRESENT,2,12
USDCHF,VALIDATED_CONFIG_PRESENT,2,11
NZDUSD,VALIDATED_CONFIG_PRESENT,4,11
EURJPY,VALIDATED_CONFIG_PRESENT,2,11
GBPJPY,VALIDATED_CONFIG_PRESENT,3,11
EURGBP,VALIDATED_CONFIG_PRESENT,4,11
AUDJPY,VALIDATED_CONFIG_PRESENT,1,11
CADJPY,VALIDATED_CONFIG_PRESENT,3,12
GBPCHF,VALIDATED_CONFIG_PRESENT,5,11
XAUUSD,RESEARCH_NEXT_VARIANT_REQUIRED,0,10
XAGUSD,VALIDATED_CONFIG_PRESENT,2,11
BTCUSD,VALIDATED_CONFIG_PRESENT,2,11
ETHUSD,RESEARCH_NEXT_VARIANT_REQUIRED,0,12
SOLUSD,VALIDATED_CONFIG_PRESENT,2,12
BNBUSD,VALIDATED_CONFIG_PRESENT,1,12
XRPUSD,RESEARCH_NEXT_VARIANT_REQUIRED,0,12
US100,VALIDATED_CONFIG_PRESENT,3,12
US500,VALIDATED_CONFIG_PRESENT,1,11
US30,VALIDATED_CONFIG_PRESENT,2,12
GER40,RESEARCH_NEXT_VARIANT_REQUIRED,0,12
UK100,VALIDATED_CONFIG_PRESENT,2,12
JP225,VALIDATED_CONFIG_PRESENT,1,12
WTI,VALIDATED_CONFIG_PRESENT,2,11
BRENT,VALIDATED_CONFIG_PRESENT,1,11
NATGAS,VALIDATED_CONFIG_PRESENT,6,11
V75,VALIDATED_CONFIG_PRESENT,2,10
V50,VALIDATED_CONFIG_PRESENT,1,10
V100,VALIDATED_CONFIG_PRESENT,2,10
V25,VALIDATED_CONFIG_PRESENT,1,10
V10,RESEARCH_NEXT_VARIANT_REQUIRED,0,10
