asset,directional_open_close_pct,open_60m_move_pct,gross_session_open_range_pct,close_60m_move_pct,executable_swing_opportunity_pct,captured_positive_move_pct,capture_ratio,missed_move_pct,raw_candidate_signals,precision_promoted_signals,selected_campaigns,miss_reasons
EURUSD,3.25443162626459,0.5509261085078969,5.651237884272103,0.4585524187334333,43.48108144109217,0.045058617067115475,0.0010362809657381805,43.43602282402506,1474,23,15,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|FALSE_BREAK_OR_WRONG_DIRECTION|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
GBPUSD,3.6523380706463184,0.7152058651841733,6.055923053130213,0.39392202533315646,51.349788965190925,0.10405521253770098,0.0020264000034788477,51.24573375265322,1612,16,9,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|LOW_OPPORTUNITY_CAPTURE
USDJPY,6.656797398048333,1.8969586512751142,12.741003199154266,2.2069586885697716,71.02983759546267,0.2342546277133998,0.0032979749868999255,70.79558296774927,1378,18,10,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
AUDUSD,4.473468899845241,0.9015642459395846,8.940594944320372,0.652900765002735,64.92148270773906,0.0,0.0,64.92148270773906,1598,15,5,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|FACTOR_DUPLICATION|FALSE_BREAK_OR_WRONG_DIRECTION|LOW_OPPORTUNITY_CAPTURE
USDCAD,3.0659685276003126,0.6178966010339129,5.343033330016466,0.37245163010043797,40.361625196493854,0.02012290193218507,0.0004985652048008491,40.34150229456167,1748,14,5,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|FALSE_BREAK_OR_WRONG_DIRECTION|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
USDCHF,5.578540620996093,1.0162839111772248,9.5309146495175,0.5929128639514927,68.20553712728167,0.3525006678438534,0.005168211888516247,67.85303645943782,1694,26,14,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|SAME_ASSET_CAMPAIGN_ALREADY_OPEN|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
NZDUSD,4.9625643946211015,1.031760078387348,9.652341810137345,1.184999479221672,79.24050257916763,0.6860281148723212,0.008657543712407982,78.55447446429531,1692,48,24,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|SAME_ASSET_CAMPAIGN_ALREADY_OPEN|FACTOR_DUPLICATION|FALSE_BREAK_OR_WRONG_DIRECTION|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
EURJPY,6.284662651337908,1.7908013644752903,11.79185231503563,2.085597356189735,65.47432874109519,0.03488011127110939,0.0005327295741974789,65.43944862982408,1511,16,15,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|FALSE_BREAK_OR_WRONG_DIRECTION|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
GBPJPY,4.9884559624737586,1.7806238678268393,9.88719677259443,0.9032682562472347,58.38845903249814,0.19266214973271956,0.003299661490046975,58.19579688276542,1340,16,8,PRECISION_FILTER_REMOVED_MOST_SIGNALS|SAME_ASSET_CAMPAIGN_ALREADY_OPEN|OPEN_RISK_BUDGET|ADDON_PARENT_NOT_OPEN|FALSE_BREAK_OR_WRONG_DIRECTION|LOW_OPPORTUNITY_CAPTURE
EURGBP,1.8341542099611559,0.2876579254679256,3.3443106294900273,0.20453805837555647,26.829673399647582,0.033896657337120134,0.0012634017877222977,26.795776742310462,1387,20,7,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|FALSE_BREAK_OR_WRONG_DIRECTION|LOW_OPPORTUNITY_CAPTURE
AUDJPY,7.134942477929849,2.4545358629868357,13.537118551933077,2.37201552323711,81.28156072562957,0.013617896615023196,0.00016753980230511522,81.26794282901456,1595,8,1,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
CADJPY,7.103240076153996,2.242533322889381,12.530879108284914,2.0841281131394043,74.14796462185868,0.1290353613632351,0.0017402414485858419,74.01892926049544,1622,7,7,PRECISION_FILTER_REMOVED_MOST_SIGNALS|FALSE_BREAK_OR_WRONG_DIRECTION|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
GBPCHF,3.3099914362219556,0.8992373480562142,6.655623890890046,0.4507461382175963,44.47519104022867,0.5974330642446739,0.013432951051391417,43.877757975984,1650,53,17,PRECISION_FILTER_REMOVED_MOST_SIGNALS|SAME_ASSET_CAMPAIGN_ALREADY_OPEN|OPEN_RISK_BUDGET|FACTOR_DUPLICATION|LOW_OPPORTUNITY_CAPTURE
XAUUSD,17.76056622984581,4.1254194902697625,30.968992025698533,2.9583918341195994,197.94606538941358,0.0,0.0,197.94606538941358,1531,0,0,CONFIG_NOT_VALIDATION_PROMOTED|LOW_OPPORTUNITY_CAPTURE
XAGUSD,28.23732840322377,7.718113440145365,53.192860399093504,4.217159473452232,374.4784206821018,1.7289916311675495,0.004617066126315745,372.7494290509342,1515,24,18,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|LOT_BELOW_MIN|FALSE_BREAK_OR_WRONG_DIRECTION|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
BTCUSD,17.92181046079334,3.6205639588048735,40.08189121636886,2.080886629936679,313.2064991814589,0.22665224842733986,0.0007236511663061848,312.9798469330316,2252,19,7,PRECISION_FILTER_REMOVED_MOST_SIGNALS|LOT_BELOW_MIN|OPEN_RISK_BUDGET|LOW_OPPORTUNITY_CAPTURE
ETHUSD,25.585296596261013,5.269264480868224,53.46210067344604,3.4056456018281263,432.2949417805221,0.0,0.0,432.2949417805221,2333,0,0,CONFIG_NOT_VALIDATION_PROMOTED|LOW_OPPORTUNITY_CAPTURE
SOLUSD,26.538913258480065,5.602931376701763,56.83862981733405,3.659386397479668,448.47989869210755,0.04878236893354467,0.00010877269878941657,448.431116323174,2142,9,6,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|FALSE_BREAK_OR_WRONG_DIRECTION|LOW_OPPORTUNITY_CAPTURE
BNBUSD,20.882286125658474,4.743415148888392,44.01438072842875,2.7196471492280168,330.93420651257844,0.21722232191336321,0.000656391263394849,330.7169841906651,2514,12,11,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|FALSE_BREAK_OR_WRONG_DIRECTION|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
XRPUSD,27.507272991871545,5.906374814787756,49.973669361322266,3.3310026736714176,413.3282252159762,0.0,0.0,413.3282252159762,2187,0,0,CONFIG_NOT_VALIDATION_PROMOTED|LOW_OPPORTUNITY_CAPTURE
US100,17.360055599775063,3.653122145147271,19.23857703044442,3.516585465077859,199.68808864684436,0.08393639816810892,0.00042033753108105257,199.60415224867626,1640,8,3,PRECISION_FILTER_REMOVED_MOST_SIGNALS|LOT_BELOW_MIN|OPEN_RISK_BUDGET|ADDON_PARENT_NOT_OPEN|LOW_OPPORTUNITY_CAPTURE
US500,10.126412810737598,1.6794677002337879,10.170849819152052,1.6006754851062472,105.27573335409772,0.09527239374777688,0.0009049796255260997,105.18046096034995,1513,8,7,PRECISION_FILTER_REMOVED_MOST_SIGNALS|SAME_ASSET_CAMPAIGN_ALREADY_OPEN|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
US30,10.210570748921203,1.481347253212606,9.705210717849909,0.7483043733453311,100.78799942869384,0.057443196777647657,0.0005699408372351705,100.73055623191618,1592,6,5,PRECISION_FILTER_REMOVED_MOST_SIGNALS|LOT_BELOW_MIN|FALSE_BREAK_OR_WRONG_DIRECTION|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
GER40,8.587431846238417,2.2700963802752336,8.07171592706771,1.448992385258999,117.3126050354488,0.0,0.0,117.3126050354488,1461,0,0,CONFIG_NOT_VALIDATION_PROMOTED|LOW_OPPORTUNITY_CAPTURE
UK100,6.575981665798338,2.274883625664514,8.562019688829311,0.871001115788469,118.00966307558244,0.45620432740578576,0.003865821793877994,117.55345874817665,1723,19,15,PRECISION_FILTER_REMOVED_MOST_SIGNALS|CONFIG_WEEKLY_LOSS_BREAKER|SAME_ASSET_CAMPAIGN_ALREADY_OPEN|OPEN_RISK_BUDGET|LOW_OPPORTUNITY_CAPTURE
JP225,22.21966493140079,14.659963729674214,24.959356430963396,6.764605049202282,301.3611493341867,0.0,0.0,301.3611493341867,1707,10,0,PRECISION_FILTER_REMOVED_MOST_SIGNALS|LOT_BELOW_MIN|LOW_OPPORTUNITY_CAPTURE
WTI,29.806408378694083,7.619834917213667,42.88565838261724,6.557926865274987,478.49912867199413,0.09991259866976318,0.00020880413919886605,478.39921607332434,1324,14,12,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|FALSE_BREAK_OR_WRONG_DIRECTION|LOW_OPPORTUNITY_CAPTURE
BRENT,40.32379851827285,5.136582468571255,45.66601507691795,7.489391298604914,456.89004464859147,0.0,0.0,456.89004464859147,1338,5,0,PRECISION_FILTER_REMOVED_MOST_SIGNALS|LOT_BELOW_MIN|OPEN_RISK_BUDGET|LOW_OPPORTUNITY_CAPTURE
NATGAS,23.651653635607246,5.233614514391622,33.776293042409556,5.605851291043274,286.7256835562666,3.6008161436802704,0.01255840111363324,283.1248674125863,1570,71,40,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|SAME_ASSET_CAMPAIGN_ALREADY_OPEN|FALSE_BREAK_OR_WRONG_DIRECTION|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
V75,67.73220103066953,14.758965155034856,101.01644986843779,10.341849356075763,1073.6228731978424,0.5752380028027568,0.0005357914936083469,1073.0476351950397,2316,22,10,PRECISION_FILTER_REMOVED_MOST_SIGNALS|LOT_BELOW_MIN|OPEN_RISK_BUDGET|SAME_ASSET_CAMPAIGN_ALREADY_OPEN|FALSE_BREAK_OR_WRONG_DIRECTION|LOW_OPPORTUNITY_CAPTURE
V50,46.30127386243321,8.930914649800457,70.73742993955247,11.299746346138258,714.9023490194546,0.0,0.0,714.9023490194546,2256,2,0,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|LOW_OPPORTUNITY_CAPTURE
V100,77.34079898477415,13.682423210564721,138.9133459315329,19.477149997944085,1426.1777040213137,0.7954455427408309,0.0005577464438673789,1425.3822584785728,2310,6,5,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
V25,18.148422788151926,5.108235415489424,35.719502562719796,4.360893161825864,356.4810023302025,0.13055992472394018,0.00036624651487880596,356.35044240547853,2274,15,7,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|FALSE_BREAK_OR_WRONG_DIRECTION|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
V10,8.568054042679956,1.4497184279764619,14.09320979165157,2.050350751478558,143.49142735021368,0.0,0.0,143.49142735021368,2215,0,0,CONFIG_NOT_VALIDATION_PROMOTED|LOW_OPPORTUNITY_CAPTURE
