asset,rolling_confirmed_configs,selected_campaigns,state
EURUSD,26,26,ACTIVE
GBPUSD,38,26,ACTIVE
USDJPY,46,50,ACTIVE
AUDUSD,45,64,ACTIVE
USDCAD,41,45,ACTIVE
USDCHF,44,65,ACTIVE
NZDUSD,51,89,ACTIVE
EURJPY,39,62,ACTIVE
GBPJPY,43,45,ACTIVE
EURGBP,44,48,ACTIVE
AUDJPY,51,59,ACTIVE
CADJPY,38,93,ACTIVE
GBPCHF,60,68,ACTIVE
XAUUSD,24,0,ACTIVE
XAGUSD,18,18,ACTIVE
BTCUSD,23,9,ACTIVE
ETHUSD,35,53,ACTIVE
SOLUSD,25,23,ACTIVE
BNBUSD,29,33,ACTIVE
XRPUSD,28,1,ACTIVE
US100,47,40,ACTIVE
US500,23,29,ACTIVE
US30,31,25,ACTIVE
GER40,63,69,ACTIVE
UK100,16,37,ACTIVE
JP225,33,4,ACTIVE
WTI,22,37,ACTIVE
BRENT,19,31,ACTIVE
NATGAS,38,70,ACTIVE
V75,16,21,ACTIVE
V50,11,12,ACTIVE
V100,16,15,ACTIVE
V25,7,17,ACTIVE
V10,9,13,ACTIVE
