asset,directional_open_close_pct,open_60m_move_pct,gross_session_open_range_pct,close_60m_move_pct,executable_swing_opportunity_pct,captured_positive_move_pct,capture_ratio,missed_move_pct,raw_candidate_signals,precision_promoted_signals,selected_campaigns,miss_reasons
EURUSD,0.34336163057821467,0.03988351617962242,0.7234694766945375,0.021677529624046284,5.2804515267542165,0.0,0.0,5.2804515267542165,223,0,0,CONFIG_NOT_VALIDATION_PROMOTED|LOW_OPPORTUNITY_CAPTURE
GBPUSD,0.3654307017904992,0.05930404532912339,0.818212960935748,0.043648621317968254,5.816769071777603,0.0,0.0,5.816769071777603,204,0,0,CONFIG_NOT_VALIDATION_PROMOTED|LOW_OPPORTUNITY_CAPTURE
USDJPY,0.14681476694084997,0.045165090632630966,0.8847720922265567,0.060850396549705615,6.407861868631224,0.0,0.0,6.407861868631224,193,5,4,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|FALSE_BREAK_OR_WRONG_DIRECTION|LOW_OPPORTUNITY_CAPTURE
AUDUSD,0.261927657523673,0.06512434425660765,0.9654924775921664,0.06643947166696983,7.092940437684653,0.0,0.0,7.092940437684653,233,1,0,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|LOW_OPPORTUNITY_CAPTURE
USDCAD,0.49821525289491303,0.060298973111076355,0.5947975339092764,0.04894503633139087,4.914572451026144,0.0,0.0,4.914572451026144,255,0,0,CONFIG_NOT_VALIDATION_PROMOTED|LOW_OPPORTUNITY_CAPTURE
USDCHF,0.26300264151293207,0.10692978938340855,1.039458568400894,0.03811071700986316,7.62485879982923,0.015205840026563089,0.0019942454576212802,7.609652959802667,207,7,6,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|FALSE_BREAK_OR_WRONG_DIRECTION|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
NZDUSD,0.6970126593358061,0.1332481415361931,1.0805092166835717,0.04601465543377099,8.8509428619927,0.0,0.0,8.8509428619927,215,2,2,PRECISION_FILTER_REMOVED_MOST_SIGNALS|LOW_OPPORTUNITY_CAPTURE
EURJPY,0.3307622359511846,0.008165724913777466,0.6760922841545756,0.03635153188063052,4.903010424849278,0.0,0.0,4.903010424849278,224,2,2,PRECISION_FILTER_REMOVED_MOST_SIGNALS|FALSE_BREAK_OR_WRONG_DIRECTION|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
GBPJPY,0.26410064853239446,0.028828480772984083,0.7013907498824948,0.03664262935864171,5.34172334156834,0.024820299231905124,0.004646496578877078,5.316903042336435,213,2,1,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
EURGBP,0.13929427611473585,0.02339559122874552,0.3943424636684265,0.009359078768121937,2.997225027159659,0.0,0.0,2.997225027159659,187,1,0,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|LOW_OPPORTUNITY_CAPTURE
