asset,state,rows,source
EURUSD,PASS,107268,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
GBPUSD,PASS,102809,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
USDJPY,PASS,107300,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
AUDUSD,PASS,105934,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
USDCAD,PASS,107126,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
USDCHF,PASS,107086,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
NZDUSD,PASS,102736,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
EURJPY,PASS,106034,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
GBPJPY,PASS,107148,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
EURGBP,PASS,105601,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
AUDJPY,PASS,103418,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
CADJPY,PASS,107401,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
GBPCHF,PASS,105975,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
XAUUSD,PASS,102740,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
XAGUSD,PASS,98822,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
BTCUSD,PASS,148320,BINANCE_OFFICIAL_SPOT_M1
ETHUSD,PASS,148320,BINANCE_OFFICIAL_SPOT_M1
SOLUSD,PASS,148320,BINANCE_OFFICIAL_SPOT_M1
BNBUSD,PASS,148320,BINANCE_OFFICIAL_SPOT_M1
XRPUSD,PASS,148320,BINANCE_OFFICIAL_SPOT_M1
US100,PASS,97923,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
US500,PASS,93961,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
US30,PASS,97832,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
GER40,PASS,97875,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
UK100,PASS,93960,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
JP225,PASS,96994,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
WTI,PASS,89856,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
BRENT,PASS,93646,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
NATGAS,PASS,79857,DUKASCOPY_OFFICIAL_M1_BID_RESEARCH_PROXY
V75,PASS,148319,DERIV_OFFICIAL_M1_CANDLES
V50,PASS,148319,DERIV_OFFICIAL_M1_CANDLES
V100,PASS,148319,DERIV_OFFICIAL_M1_CANDLES
V25,PASS,148319,DERIV_OFFICIAL_M1_CANDLES
V10,PASS,148319,DERIV_OFFICIAL_M1_CANDLES
