asset,state,event_rows
EURUSD,RELEASED_EVENT_EVIDENCE_BUILT,12
GBPUSD,RELEASED_EVENT_EVIDENCE_BUILT,11
USDJPY,RELEASED_EVENT_EVIDENCE_BUILT,12
AUDUSD,RELEASED_EVENT_EVIDENCE_BUILT,11
USDCAD,RELEASED_EVENT_EVIDENCE_BUILT,12
USDCHF,RELEASED_EVENT_EVIDENCE_BUILT,12
NZDUSD,RELEASED_EVENT_EVIDENCE_BUILT,11
EURJPY,RELEASED_EVENT_EVIDENCE_BUILT,12
GBPJPY,RELEASED_EVENT_EVIDENCE_BUILT,12
EURGBP,RELEASED_EVENT_EVIDENCE_BUILT,12
AUDJPY,RELEASED_EVENT_EVIDENCE_BUILT,12
CADJPY,RELEASED_EVENT_EVIDENCE_BUILT,12
GBPCHF,RELEASED_EVENT_EVIDENCE_BUILT,11
XAUUSD,RELEASED_EVENT_EVIDENCE_BUILT,12
XAGUSD,RELEASED_EVENT_EVIDENCE_BUILT,12
BTCUSD,RELEASED_EVENT_EVIDENCE_BUILT,12
ETHUSD,RELEASED_EVENT_EVIDENCE_BUILT,12
SOLUSD,RELEASED_EVENT_EVIDENCE_BUILT,12
BNBUSD,RELEASED_EVENT_EVIDENCE_BUILT,12
XRPUSD,RELEASED_EVENT_EVIDENCE_BUILT,12
US100,RELEASED_EVENT_EVIDENCE_BUILT,12
US500,RELEASED_EVENT_EVIDENCE_BUILT,12
US30,RELEASED_EVENT_EVIDENCE_BUILT,12
GER40,RELEASED_EVENT_EVIDENCE_BUILT,12
UK100,RELEASED_EVENT_EVIDENCE_BUILT,12
JP225,RELEASED_EVENT_EVIDENCE_BUILT,12
WTI,RELEASED_EVENT_EVIDENCE_BUILT,10
BRENT,RELEASED_EVENT_EVIDENCE_BUILT,12
NATGAS,RELEASED_EVENT_EVIDENCE_BUILT,12
V75,NON_NATIVE_EVENT_FAMILY_GATED,0
V50,NON_NATIVE_EVENT_FAMILY_GATED,0
V100,NON_NATIVE_EVENT_FAMILY_GATED,0
V25,NON_NATIVE_EVENT_FAMILY_GATED,0
V10,NON_NATIVE_EVENT_FAMILY_GATED,0
