asset,candidate_count,playbooks_triggered,families_triggered,families,playbooks
EURUSD,8417,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
GBPUSD,7984,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
USDJPY,7705,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
AUDUSD,8402,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
USDCAD,9237,20,12,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
USDCHF,9149,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
NZDUSD,8678,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
EURJPY,7803,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
GBPJPY,8170,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
EURGBP,7909,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
