asset,directional_open_close_pct,open_60m_move_pct,gross_session_open_range_pct,close_60m_move_pct,executable_swing_opportunity_pct,captured_positive_move_pct,capture_ratio,missed_move_pct,raw_candidate_signals,precision_promoted_signals,selected_campaigns,miss_reasons
EURUSD,3.579990750008785,0.5253148536148571,6.253589548272792,0.45598631693260827,47.83736384085263,0.035237828591026574,0.0007366172749037191,47.8021260122616,1706,17,12,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|FALSE_BREAK_OR_WRONG_DIRECTION|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
GBPUSD,3.9114269424966466,0.6588077551002616,6.415471880508176,0.41873450639475723,53.49186226916089,0.09497471819844014,0.0017754984434930569,53.39688755096245,1666,26,17,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
USDJPY,6.787583008471529,1.9338808918640196,13.734023034350114,2.2687169525952906,78.00399110054666,0.13631537550405984,0.00174754360104921,77.8676757250426,1516,24,11,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|FALSE_BREAK_OR_WRONG_DIRECTION|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
AUDUSD,4.507344487362441,0.7729660942760529,9.367357086434334,0.6677367852954557,67.7280120253213,0.10265847887522153,0.0015157462297408176,67.62535354644608,1711,17,10,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|SAME_ASSET_CAMPAIGN_ALREADY_OPEN|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
USDCAD,3.438426117836005,0.5361462151427108,5.489811216982064,0.36601967530884955,42.47601348218772,0.02012290193218507,0.00047374742313384925,42.455890580255534,1844,12,8,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|FALSE_BREAK_OR_WRONG_DIRECTION|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
USDCHF,5.695649438473055,0.9958594015437184,10.111382191939036,0.5724886282336006,71.55539536930192,0.01247832062712504,0.0001743868587787635,71.5429170486748,1752,17,8,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|FALSE_BREAK_OR_WRONG_DIRECTION|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
NZDUSD,5.325620415915845,0.9001972985312398,10.174050357123818,1.178972136283442,82.95685274824856,0.5742111524762112,0.00692180493176116,82.38264159577236,1789,49,27,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|SAME_ASSET_CAMPAIGN_ALREADY_OPEN|FACTOR_DUPLICATION|LOW_OPPORTUNITY_CAPTURE
EURJPY,6.552338747851745,1.7146483578758753,12.178795164345228,2.106139928022317,68.1019738937542,0.06204416143827866,0.0009110479166884893,68.03992973231593,1624,16,12,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|FALSE_BREAK_OR_WRONG_DIRECTION|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
GBPJPY,6.792070467166175,1.8997765327425655,12.571869337536935,2.026374673758874,71.81325791336245,0.19425745755980012,0.0027050361340542135,71.61900045580265,1515,23,10,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|SAME_ASSET_CAMPAIGN_ALREADY_OPEN|ADDON_PARENT_NOT_OPEN|FALSE_BREAK_OR_WRONG_DIRECTION|LOW_OPPORTUNITY_CAPTURE
EURGBP,1.8061099919694161,0.28297019020777275,3.629718265164888,0.1916252032773705,29.159880047700927,0.05223781792412044,0.0017914277369683166,29.107642229776808,1547,23,14,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|SAME_ASSET_CAMPAIGN_ALREADY_OPEN|LOW_OPPORTUNITY_CAPTURE
