asset,rolling_confirmed_configs,selected_campaigns,state
EURUSD,26,27,ACTIVE
GBPUSD,38,26,ACTIVE
USDJPY,46,56,ACTIVE
AUDUSD,47,69,ACTIVE
USDCAD,41,45,ACTIVE
USDCHF,44,79,ACTIVE
NZDUSD,51,96,ACTIVE
EURJPY,40,69,ACTIVE
GBPJPY,43,48,ACTIVE
EURGBP,44,51,ACTIVE
AUDJPY,51,59,ACTIVE
CADJPY,38,98,ACTIVE
GBPCHF,60,86,ACTIVE
XAUUSD,24,0,ACTIVE
XAGUSD,18,20,ACTIVE
BTCUSD,23,9,ACTIVE
ETHUSD,35,57,ACTIVE
SOLUSD,26,31,ACTIVE
BNBUSD,29,35,ACTIVE
XRPUSD,28,1,ACTIVE
US100,47,42,ACTIVE
US500,23,29,ACTIVE
US30,29,21,ACTIVE
GER40,63,78,ACTIVE
UK100,16,37,ACTIVE
JP225,33,4,ACTIVE
WTI,21,33,ACTIVE
BRENT,19,32,ACTIVE
NATGAS,38,73,ACTIVE
V75,16,25,ACTIVE
V50,11,12,ACTIVE
V100,16,15,ACTIVE
V25,7,17,ACTIVE
V10,9,13,ACTIVE
