route,broker_id,scope_state,candidate_native,available,captured_from_target_server,broker_certified,certification_state,broker_symbol,account_type,server,capture_start,capture_end,sample_n,trade_lot,spread_cost_median_usd,spread_cost_p95_usd,commission_round_turn_usd,slippage_mean_usd,slippage_p95_usd,financing_long_usd,financing_short_usd,contract_size,tick_size,tick_value,min_lot,lot_step,max_lot,margin_required_usd,leverage,stop_level,freeze_level,execution_mode,fill_rate,reject_rate,latency_median_ms,latency_p95_ms,session_rules,weekend_rules,spec_hash
XAUUSD,EXNESS_RAW_SPREAD_MT5,IN_SCOPE_238_CELL_ESTATE,True,False,False,False,TARGET_SERVER_EVIDENCE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAUUSD,IC_MARKETS_RAW_SPREAD_MT5,IN_SCOPE_238_CELL_ESTATE,True,False,False,False,TARGET_SERVER_EVIDENCE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAUUSD,PEPPERSTONE_RAZOR_MT5,IN_SCOPE_238_CELL_ESTATE,True,False,False,False,TARGET_SERVER_EVIDENCE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAUUSD,FP_MARKETS_RAW_MT5,IN_SCOPE_238_CELL_ESTATE,True,False,False,False,TARGET_SERVER_EVIDENCE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAUUSD,HFM_ZERO_MT5,IN_SCOPE_238_CELL_ESTATE,True,False,False,False,TARGET_SERVER_EVIDENCE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAUUSD,TICKMILL_RAW_MT5,IN_SCOPE_238_CELL_ESTATE,True,False,False,False,TARGET_SERVER_EVIDENCE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAUUSD,DERIV_MT5_SYNTHETIC,IN_SCOPE_238_CELL_ESTATE,False,False,False,False,NON_NATIVE_BROKER_ROUTE_GATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAGUSD,EXNESS_RAW_SPREAD_MT5,IN_SCOPE_238_CELL_ESTATE,True,False,False,False,TARGET_SERVER_EVIDENCE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAGUSD,IC_MARKETS_RAW_SPREAD_MT5,IN_SCOPE_238_CELL_ESTATE,True,False,False,False,TARGET_SERVER_EVIDENCE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAGUSD,PEPPERSTONE_RAZOR_MT5,IN_SCOPE_238_CELL_ESTATE,True,False,False,False,TARGET_SERVER_EVIDENCE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAGUSD,FP_MARKETS_RAW_MT5,IN_SCOPE_238_CELL_ESTATE,True,False,False,False,TARGET_SERVER_EVIDENCE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAGUSD,HFM_ZERO_MT5,IN_SCOPE_238_CELL_ESTATE,True,False,False,False,TARGET_SERVER_EVIDENCE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAGUSD,TICKMILL_RAW_MT5,IN_SCOPE_238_CELL_ESTATE,True,False,False,False,TARGET_SERVER_EVIDENCE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAGUSD,DERIV_MT5_SYNTHETIC,IN_SCOPE_238_CELL_ESTATE,False,False,False,False,NON_NATIVE_BROKER_ROUTE_GATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURUSD,EXNESS_RAW_SPREAD_MT5,IN_SCOPE_238_CELL_ESTATE,True,False,False,False,TARGET_SERVER_EVIDENCE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURUSD,IC_MARKETS_RAW_SPREAD_MT5,IN_SCOPE_238_CELL_ESTATE,True,False,False,False,TARGET_SERVER_EVIDENCE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURUSD,PEPPERSTONE_RAZOR_MT5,IN_SCOPE_238_CELL_ESTATE,True,False,False,False,TARGET_SERVER_EVIDENCE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURUSD,FP_MARKETS_RAW_MT5,IN_SCOPE_238_CELL_ESTATE,True,False,False,False,TARGET_SERVER_EVIDENCE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURUSD,HFM_ZERO_MT5,IN_SCOPE_238_CELL_ESTATE,True,False,False,False,TARGET_SERVER_EVIDENCE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURUSD,TICKMILL_RAW_MT5,IN_SCOPE_238_CELL_ESTATE,True,False,False,False,TARGET_SERVER_EVIDENCE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURUSD,DERIV_MT5_SYNTHETIC,IN_SCOPE_238_CELL_ESTATE,False,False,False,False,NON_NATIVE_BROKER_ROUTE_GATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBPUSD,EXNESS_RAW_SPREAD_MT5,IN_SCOPE_238_CELL_ESTATE,True,False,False,False,TARGET_SERVER_EVIDENCE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBPUSD,IC_MARKETS_RAW_SPREAD_MT5,IN_SCOPE_238_CELL_ESTATE,True,False,False,False,TARGET_SERVER_EVIDENCE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBPUSD,PEPPERSTONE_RAZOR_MT5,IN_SCOPE_238_CELL_ESTATE,True,False,False,False,TARGET_SERVER_EVIDENCE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
