asset,rolling_confirmed_configs,selected_campaigns,state
EURUSD,26,25,ACTIVE
GBPUSD,38,23,ACTIVE
USDJPY,46,50,ACTIVE
AUDUSD,45,64,ACTIVE
USDCAD,41,45,ACTIVE
USDCHF,44,61,ACTIVE
NZDUSD,51,87,ACTIVE
EURJPY,39,58,ACTIVE
GBPJPY,43,45,ACTIVE
EURGBP,44,43,ACTIVE
AUDJPY,51,57,ACTIVE
CADJPY,38,86,ACTIVE
GBPCHF,60,66,ACTIVE
XAUUSD,24,0,ACTIVE
XAGUSD,18,18,ACTIVE
BTCUSD,23,9,ACTIVE
ETHUSD,37,57,ACTIVE
SOLUSD,25,27,ACTIVE
BNBUSD,29,39,ACTIVE
XRPUSD,30,1,ACTIVE
US100,47,39,ACTIVE
US500,23,29,ACTIVE
US30,31,26,ACTIVE
GER40,63,64,ACTIVE
UK100,16,37,ACTIVE
JP225,33,4,ACTIVE
WTI,22,35,ACTIVE
BRENT,19,31,ACTIVE
NATGAS,38,68,ACTIVE
V75,16,21,ACTIVE
V50,11,12,ACTIVE
V100,16,14,ACTIVE
V25,7,17,ACTIVE
V10,9,13,ACTIVE
