week_start,start_equity,end_equity,weekly_return_pct,campaigns_entered,campaigns_closed,max_drawdown_pct,ge5,ge10,tierA_candidates,tierB_candidates,confirmed_configs
2026-06-01,100.0,104.72417528928511,4.724175289285104,199,199,-5.9351746405250205,False,False,368,16,97
2026-06-08,104.72417528928511,100.80972509824866,-3.737866810813606,163,163,-6.957375821606182,False,False,289,0,100
2026-06-15,100.80972509824866,111.52319487860544,10.62741691827398,125,123,-2.1677963539768808,True,True,235,8,91
2026-06-22,111.52319487860544,125.22444753999906,12.285563264491861,140,139,-1.9431797125321282,True,True,257,0,99
2026-06-29,125.22444753999906,136.25565199005695,8.809146030797477,150,149,-5.222185182031181,True,False,231,17,114
2026-07-06,136.25565199005695,141.75287906148552,4.034494709863279,20,20,-0.9697575437674577,False,False,198,19,98
2026-07-13,141.75287906148552,147.45145070523535,4.020074711341892,83,83,-1.22753480263883,False,False,217,20,90
2026-07-20,147.45145070523535,168.94039002934497,14.573569280825428,143,140,-1.115209728884281,True,True,202,19,98
2026-07-27,168.94039002934497,187.1112273724169,10.755768552396283,113,113,-1.5417465625007898,True,True,176,8,102
2026-08-03,187.1112273724169,215.21696111955922,15.020869747811583,102,102,-1.470447684644538,True,True,196,0,115
2026-08-10,215.21696111955922,224.1599403081311,4.155331969213982,29,29,-0.9667697551891341,False,False,144,17,99
