asset,rolling_confirmed_configs,selected_campaigns,state
EURUSD,26,24,ACTIVE
GBPUSD,38,19,ACTIVE
USDJPY,46,56,ACTIVE
AUDUSD,47,66,ACTIVE
USDCAD,41,40,ACTIVE
USDCHF,44,70,ACTIVE
NZDUSD,51,87,ACTIVE
EURJPY,40,63,ACTIVE
GBPJPY,43,40,ACTIVE
EURGBP,44,41,ACTIVE
AUDJPY,51,55,ACTIVE
CADJPY,38,78,ACTIVE
GBPCHF,60,76,ACTIVE
XAUUSD,24,0,ACTIVE
XAGUSD,18,19,ACTIVE
BTCUSD,19,4,ACTIVE
ETHUSD,33,78,ACTIVE
SOLUSD,23,22,ACTIVE
BNBUSD,27,27,ACTIVE
XRPUSD,18,1,ACTIVE
US100,47,39,ACTIVE
US500,23,27,ACTIVE
US30,29,21,ACTIVE
GER40,63,71,ACTIVE
UK100,16,32,ACTIVE
JP225,33,3,ACTIVE
WTI,21,29,ACTIVE
BRENT,19,34,ACTIVE
NATGAS,38,60,ACTIVE
V75,16,12,ACTIVE
V50,11,12,ACTIVE
V100,16,10,ACTIVE
V25,7,17,ACTIVE
V10,9,12,ACTIVE
