week_start,start_equity,end_equity,weekly_return_pct,campaigns_entered,campaigns_closed,max_drawdown_pct,ge5,ge10,tierA_candidates,tierB_candidates,confirmed_configs
2026-06-01,100.0,104.21973124999948,4.219731249999481,202,202,-5.644056819572274,False,False,386,16,96
2026-06-08,104.21973124999948,100.01722834710596,-4.032348627739868,151,151,-7.257541952866187,False,False,277,0,98
2026-06-15,100.01722834710596,110.76820875603426,10.749128511757423,131,127,-2.209799677066815,True,True,221,8,89
2026-06-22,110.76820875603426,124.47456009026708,12.373903566880728,136,135,-2.1596657101047745,True,True,244,0,98
2026-06-29,124.47456009026708,127.17641835513906,2.1706108163086713,140,139,-4.626958814655124,False,False,215,17,111
2026-07-06,127.17641835513906,132.41715344442443,4.120838719211806,31,31,-2.061313185185798,False,False,214,19,96
2026-07-13,132.41715344442443,137.73572612903138,4.016528483101056,92,92,-1.2019980658615315,False,False,253,20,92
2026-07-20,137.73572612903138,143.48313970046192,4.172783440402639,27,27,-1.4991566413044666,False,False,204,19,95
2026-07-27,143.48313970046192,159.61646671908755,11.244057700651,129,129,-3.125251301115761,True,True,209,6,102
2026-08-03,159.61646671908755,179.71590701337286,12.59233505629387,96,96,-1.3587730813138021,True,True,182,0,111
2026-08-10,179.71590701337286,203.81706693980294,13.410699323703534,106,106,-1.097164343697854,True,True,134,17,91
