asset,contract_size,tick_size,tick_value,volume_min,volume_step,volume_max,margin_per_lot,evidence_state
EURUSD,100000,1e-05,1.0,0.001,0.001,100,0.3,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
GBPUSD,100000,1e-05,1.0,0.001,0.001,100,0.3,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
USDJPY,100000,0.001,1.0,0.001,0.001,100,0.3,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
AUDUSD,100000,1e-05,1.0,0.001,0.001,100,0.3,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
USDCAD,100000,1e-05,1.0,0.001,0.001,100,0.3,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
USDCHF,100000,1e-05,1.0,0.001,0.001,100,0.3,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
NZDUSD,100000,1e-05,1.0,0.001,0.001,100,0.3,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
EURJPY,100000,0.001,1.0,0.001,0.001,100,0.3,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
GBPJPY,100000,0.001,1.0,0.001,0.001,100,0.3,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
EURGBP,100000,1e-05,1.0,0.001,0.001,100,0.3,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
AUDJPY,100000,0.001,1.0,0.001,0.001,100,0.3,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
CADJPY,100000,0.001,1.0,0.001,0.001,100,0.3,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
GBPCHF,100000,1e-05,1.0,0.001,0.001,100,0.3,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
XAUUSD,1,0.01,0.01,0.01,0.01,100,2.3863375000000002,RESEARCH_PROXY_HFM_CENT_XAU_PUBLISHED_TERMS_NOT_TARGET_SERVER_CERTIFIED
XAGUSD,100,0.01,1.0,0.01,0.01,100,5.0,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
BTCUSD,1,0.01,0.01,0.01,0.01,100,2.0,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
ETHUSD,1,0.01,0.01,0.01,0.01,100,2.0,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
SOLUSD,1,0.01,0.01,0.01,0.01,100,2.0,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
BNBUSD,1,0.01,0.01,0.01,0.01,100,2.0,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
XRPUSD,1,0.01,0.01,0.01,0.01,100,2.0,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
US100,1,0.1,0.1,0.01,0.01,100,2.0,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
US500,1,0.1,0.1,0.01,0.01,100,2.0,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
US30,1,0.1,0.1,0.01,0.01,100,2.0,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
GER40,1,0.1,0.1,0.01,0.01,100,2.0,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
UK100,1,0.1,0.1,0.01,0.01,100,2.0,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
JP225,1,0.1,0.1,0.01,0.01,100,2.0,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
WTI,100,0.01,1.0,0.01,0.01,100,4.0,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
BRENT,100,0.01,1.0,0.01,0.01,100,4.0,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
NATGAS,100,0.01,1.0,0.01,0.01,100,4.0,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
V75,1,0.01,0.01,0.001,0.001,100,0.5,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
V50,1,0.01,0.01,0.001,0.001,100,0.5,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
V100,1,0.01,0.01,0.001,0.001,100,0.5,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
V25,1,0.01,0.01,0.001,0.001,100,0.5,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
V10,1,0.01,0.01,0.001,0.001,100,0.5,RESEARCH_PROXY_SIZING_NOT_BROKER_CERTIFIED
