asset,trades,opening_lots,net_pnl,round_turn_lot_sides
SOLUSD,27,135.78,4.344739214285772,271.56
XRPUSD,1,100.0,0.0,200.0
NATGAS,63,73.74,14.041588142856835,147.48
BNBUSD,17,9.85,3.9025594285711898,19.7
ETHUSD,43,6.62,6.957722428571394,13.24
V100,16,3.9410000000000003,2.213026149999996,7.882000000000001
UK100,28,3.49,1.76620039642843,6.98
NZDUSD,95,3.028,20.936940785713936,6.056
V25,18,2.634,-1.6215464599999825,5.268
US500,26,2.62,4.028359001071338,5.24
V50,1,2.265,0.0,4.53
GBPCHF,81,2.1790000000000003,56.302401964291576,4.3580000000000005
USDCHF,73,1.859,41.22277835714589,3.718
V10,7,1.637,0.23297588571422967,3.274
GER40,40,1.56,8.740200964286228,3.12
CADJPY,107,1.494,20.596418928571325,2.988
AUDUSD,59,1.207,9.011954999999318,2.414
EURGBP,26,1.058,0.11655325000087574,2.116
US100,33,0.94,0.7170360514287797,1.88
USDJPY,44,0.774,2.5887894999997716,1.548
EURJPY,51,0.634,6.8107024999994215,1.268
EURUSD,14,0.619,0.5884667857170451,1.238
AUDJPY,44,0.552,4.943146178571617,1.104
GBPJPY,34,0.463,3.7291560714282834,0.926
XAGUSD,14,0.45,3.0123153928572495,0.9
USDCAD,28,0.42400000000000004,3.562210214285637,0.8480000000000001
BRENT,19,0.42,5.255980714285755,0.84
GBPUSD,24,0.391,0.005142964286180052,0.782
WTI,17,0.33,0.3471064285713936,0.66
US30,18,0.27,1.3053964714283939,0.54
BTCUSD,6,0.13,6.953446964285613,0.26
V75,24,0.049,2.7074765779285737,0.098
JP225,4,0.04,1.6930122321430099,0.08
