asset,losses,loss_dollars,avg_loss
GBPCHF,19,-11.078524999999395,-0.5830802631578629
ETHUSD,24,-10.988258214285745,-0.45784409226190603
NZDUSD,25,-10.760139285715352,-0.4304055714286141
AUDJPY,18,-9.220946428571168,-0.5122748015872871
USDCHF,16,-9.08573928571369,-0.5678587053571056
EURGBP,19,-9.046146428571088,-0.4761129699247941
GER40,20,-8.465761107142606,-0.4232880553571303
NATGAS,20,-8.217374285714271,-0.4108687142857136
USDJPY,18,-7.750178571428563,-0.43056547619047575
US100,11,-6.8139824642856555,-0.6194529512986959
EURJPY,16,-6.498650000000509,-0.40616562500003184
AUDUSD,15,-6.471132142857827,-0.43140880952385513
GBPJPY,14,-6.189217857143291,-0.44208698979594935
USDCAD,14,-5.9837428571421825,-0.4274102040815845
UK100,12,-5.5110341071431685,-0.4592528422619307
WTI,13,-5.320639285714307,-0.4092799450549467
EURUSD,11,-4.88544642857156,-0.4441314935065055
US500,11,-4.71358632142842,-0.42850784740258363
GBPUSD,10,-4.307653571428326,-0.4307653571428326
BRENT,10,-4.265267857142831,-0.4265267857142831
SOLUSD,8,-3.8773728571427646,-0.4846716071428456
CADJPY,8,-3.232485714285815,-0.4040607142857269
BNBUSD,8,-3.231557500000049,-0.4039446875000061
V25,6,-2.37399256071427,-0.39566542678571165
XAGUSD,6,-1.9827642857142749,-0.3304607142857125
V75,6,-1.978893385714269,-0.3298155642857115
V50,4,-1.8158004596428556,-0.4539501149107139
V10,3,-1.5600869607143757,-0.5200289869047919
US30,4,-1.289555571428573,-0.3223888928571432
JP225,2,-1.2882538214285888,-0.6441269107142944
V100,2,-0.9299935000000035,-0.46499675000000174
BTCUSD,1,-0.9151535714285274,-0.9151535714285274
