trades,net_pnl,wins,losses,flat,avg_pnl,nonflat_win_rate,dimension,value
33,-2.9548105357143384,9,13,11,-0.0895397132034648,0.4090909090909091,asset,WTI
26,-2.644362499999407,5,10,11,-0.10170624999997718,0.3333333333333333,asset,GBPUSD
27,-1.8074953571408137,7,11,9,-0.06694427248669681,0.3888888888888889,asset,EURUSD
17,-1.7897564307142801,2,6,9,-0.10527979004201649,0.25,asset,V25
32,-1.0442155714285006,12,10,10,-0.032631736607140645,0.5454545454545454,asset,BRENT
51,-0.45191357142864563,23,19,9,-0.008861050420169523,0.5476190476190477,asset,EURGBP
4,-0.35778599285724355,1,2,1,-0.08944649821431089,0.3333333333333333,asset,JP225
42,-0.1998525499997268,15,11,16,-0.004758394047612542,0.5769230769230769,asset,US100
1,0.0,0,0,1,0.0,,asset,XRPUSD
37,0.0003826035710516873,9,12,16,1.0340637055451009e-05,0.42857142857142855,asset,UK100
45,0.0071193571431723,18,14,13,0.00015820793651494,0.5625,asset,USDCAD
12,0.19840581773928423,6,4,2,0.016533818144940354,0.6,asset,V50
13,0.34208157107118187,4,3,6,0.026313967005475527,0.5714285714285714,asset,V10
57,1.1494900357141968,17,24,16,0.02016649185463503,0.4146341463414634,asset,ETHUSD
21,1.2405024928570205,8,4,9,0.05907154727890574,0.6666666666666666,asset,US30
20,1.2890277142857673,8,6,6,0.06445138571428836,0.5714285714285714,asset,XAGUSD
25,1.5063619223214337,6,6,13,0.06025447689285735,0.5,asset,V75
56,1.8336777499996058,21,18,17,0.03274424553570725,0.5384615384615384,asset,USDJPY
15,1.841145630357147,6,2,7,0.1227430420238098,0.75,asset,V100
35,1.8474611785712383,16,8,11,0.05278460510203538,0.6666666666666666,asset,BNBUSD
69,1.9829628571424192,17,16,36,0.028738592132498828,0.5151515151515151,asset,EURJPY
31,2.883447678571447,13,8,10,0.09301444124424023,0.6190476190476191,asset,SOLUSD
29,3.3277079678568677,11,11,7,0.11474855061575406,0.5,asset,US500
9,5.314151964285629,5,1,3,0.5904613293650699,0.8333333333333334,asset,BTCUSD
48,5.992241285713301,21,14,13,0.1248383601190271,0.6,asset,GBPJPY
59,7.555580321428675,20,18,21,0.12806068341404533,0.5263157894736842,asset,AUDJPY
78,7.893624225000733,32,20,26,0.10120031057693248,0.6153846153846154,asset,GER40
69,9.375790749998961,35,15,19,0.1358810253623038,0.7,asset,AUDUSD
98,14.822155928571366,44,8,46,0.15124648906705476,0.8461538461538461,asset,CADJPY
73,15.526077785713888,30,20,23,0.2126859970645738,0.6,asset,NATGAS
96,19.896482928570386,45,25,26,0.20725503050594152,0.6428571428571429,asset,NZDUSD
79,22.114594535716723,35,16,28,0.2799315764014775,0.6862745098039216,asset,USDCHF
86,37.731363678575455,44,19,23,0.4387367869601797,0.6984126984126984,asset,GBPCHF
795,58.75430320800885,320,218,257,0.07390478390944509,0.5947955390334573,direction,1
598,95.66734226348515,225,156,217,0.15997883321653036,0.5905511811023622,direction,-1
20,0.3480582425000755,3,5,12,0.017402912125003774,0.375,entry_dow,Saturday
269,5.666185362857451,100,84,85,0.02106388610727677,0.5434782608695652,entry_dow,Thursday
90,10.740944563928636,49,32,9,0.11934382848809595,0.6049382716049383,entry_dow,Sunday
175,11.907366719945873,59,40,76,0.06804209554254785,0.5959595959595959,entry_dow,Friday
280,25.75363488300837,103,79,98,0.09197726743931561,0.5659340659340659,entry_dow,Tuesday
263,35.46452963742925,105,64,94,0.1348461202944078,0.621301775147929,entry_dow,Wednesday
296,64.54092606182434,126,70,100,0.21804366912778492,0.6428571428571429,entry_dow,Monday
