strategy,trades,wins,losses,flat,net_pnl,nonflat_win_rate,avg_win_usd,avg_loss_usd,payoff_ratio,avg_net_r,avg_mfe_r,avg_mae_r,avg_giveback_r,winner_avg_mfe_r,winner_avg_giveback_r,loser_avg_mfe_r,loser_avg_mae_r
MEAN_REVERSION_EXTREME,148,90,58,0,-7.256804606190729,0.6081081081081081,0.19532551629629735,-0.4282086391871981,0.4561456692397739,-0.1547146414963681,0.9232722497575273,0.9647719002406244,0.6860949993619899,1.3100929203834897,0.9200681086219387,0.3230332780965518,1.6840592281602156
BREAKOUT_RETEST,40,8,18,14,-4.861707192856564,0.3076923076923077,0.41188851160715656,-0.45315640476187863,0.9089323405317261,-0.25529571028932213,0.9194498187493435,0.779275832926992,0.7460078065097153,2.0066407430170754,1.1394306818189344,0.35280170018337487,1.3832977960494595
SESSION_OPEN_SWEEP_RECLAIM,13,1,9,3,-4.20889776428573,0.1,0.5962899999999991,-0.5339097515873032,1.1168366905216482,-0.5911393505725123,0.5055294416660456,1.0570357827673942,0.4043610999308603,2.115188442557416,0.8000000000000069,0.17185809958694687,1.3935997185170557
INTRADAY_SWING_CONTINUATION,18,3,6,9,-2.353671875000041,0.3333333333333333,0.23306347023809124,-0.5088103809523857,0.45805565091232137,-0.2528834718879279,0.9476910477352382,0.6656057434956374,0.7742690622223025,2.0782704934428984,1.0377385803652845,0.17452300463613102,1.2744772831655842
COMPRESSION_EXPANSION,30,6,12,12,-1.7926357857152642,0.3333333333333333,0.49072974999988156,-0.3947511904762128,1.2431368462952166,-0.1882419010376656,0.8765725376045642,0.8778235571191737,0.7106803848793035,1.9516633995020711,1.1222026358757666,0.28874517355586893,1.4482271386472754
FAILED_BREAK_REVERSAL,18,3,8,7,-1.4458614285707814,0.2727272727272727,0.6026057142857679,-0.40670982142851064,1.4816600990091675,-0.2612892446632713,0.8527241908080903,1.0229184328562968,0.6756186931019308,1.963906491360954,0.901273505123997,0.264478377767261,1.6699377979274328
VOLATILITY_REVERSAL,6,1,3,2,-1.3600548571431954,0.25,0.7459237142856728,-0.701992857142956,1.062580205333586,-0.29555736187216314,0.7247231534101414,0.9635979626767975,0.5202805152822394,2.026655828767461,0.8000000000000496,0.19603724707691098,1.4508514587844301
SESSION_OPEN_RANGE_BREAKOUT,25,6,12,7,-1.333290000000361,0.3333333333333333,0.7550659523809221,-0.48864047619049106,1.5452382460567349,-0.05782185106370224,1.0515377470207548,0.8820451860653091,0.6293595980844414,2.663906083339412,0.9048304627714399,0.20860663253557524,1.3886604285360875
DAY_OPEN_DRIVE_FADE,7,0,2,5,-1.1337357142858693,0.0,0.0,-0.5668678571429346,,-0.28571428571433594,0.9054991582495272,1.3277422520300424,0.9054991582495272,0.0,0.0,0.5447779280020706,1.9378801840310869
DAY_OPEN_DRIVE_CONTINUATION,8,1,5,2,-0.9199961428569805,0.16666666666666666,0.9567020000000046,-0.375339628571397,2.548896858137166,-0.40191870036230354,0.7733443775295249,1.0776301402937023,0.5502630778918791,2.5846503971011066,0.7999999999999405,0.30899628925948663,1.4088859865928751
WINNER_ONLY_ADDON,1,0,1,0,-0.5834237142857455,0.0,0.0,-0.5834237142857455,,-1.0000000000001148,0.0,1.05237408930445,0.0,0.0,0.0,0.0,1.05237408930445
SUPPLY_DEMAND_SWEEP_BOS,26,7,10,9,1.4090130764285593,0.4117647058823529,0.81642176326525,-0.4305939266428191,1.8960364109883927,0.06643613885536978,1.154286692584619,0.8684029788479133,0.7032351691138863,2.4753342300341714,0.800000000000022,0.30856096454622783,1.5781548113066832
HTF_PULLBACK_CONTINUATION,10,5,3,2,2.0579092857147523,0.625,0.6969408857144105,-0.4755983809524332,1.465397935793467,0.2945622401924621,1.2125267939760143,0.8878050210016717,0.7288339948553333,1.8755965367566687,0.9082109385153068,0.1572780081790285,1.3074728844608194
HTF_TREND_BREAKOUT,23,8,7,8,4.4225034892854485,0.5333333333333333,1.051434833928537,-0.5698535974489783,1.8450964223713213,0.23997514353803756,1.3122166376596653,0.7363505393783949,0.7678936680346954,2.5434129038052076,0.9784843661334186,0.317476733604903,1.588855428769834
INTERMARKET_LEAD_LAG,37,16,6,15,10.147616464285807,0.7272727272727273,0.749265611607153,-0.3067722202381069,2.4424167580284704,0.6420598317534028,1.5818854268834457,0.5440776231092945,0.7879249111212054,2.6740332342062088,0.8379995415060275,0.28299294157428306,1.4662192377428374
CLOSE_SESSION_CONTINUATION,17,9,6,2,13.017238821429622,0.6,1.7052158333334855,-0.38828394642862457,4.391672251757498,1.3245470070555114,2.382059493627921,1.440323477512975,0.7045713101018001,4.085201565147957,0.9166127740430614,0.29643236072108237,1.8500433801334697
CLOSE_SESSION_FADE,131,92,39,0,19.818848127500445,0.7022900763358778,0.36153091771739104,-0.3446665718589625,1.0489294501856403,0.2579341537539436,1.3613512098635365,0.9490468592111165,0.8010262815107764,1.8238779754060632,1.0260240013385467,0.2702624296093694,1.9501019557941834
RELATIVE_VALUE_ROTATION,363,142,65,156,60.34174130357088,0.6859903381642513,0.6113149573692155,-0.40715357912088823,1.501435794053795,0.3429477542459425,1.353723115431745,0.5426669208685244,0.8376997374626308,2.218955833998347,0.8998256494716681,0.2889298483658458,1.336749488926808
ENSEMBLE_CONFLUENCE,472,147,104,221,70.45685398446975,0.5856573705179283,0.8591971361431343,-0.5369723560439517,1.6000770365035482,0.2763426737065219,1.3386862754807631,0.5891574500001621,0.8456291784067295,2.5369120989313907,0.9537627804351729,0.27425135377872056,1.397304154709274
