week_start,start_equity,end_equity,weekly_return_pct,campaigns_entered,campaigns_closed,max_drawdown_pct,ge5,ge10
2026-06-01,100.0,104.2370491392856,4.237049139285598,203,203,-5.870337346350995,False,False
2026-06-08,104.2370491392856,101.89780037131982,-2.2441625000723,152,152,-5.461765499945271,False,False
2026-06-15,101.89780037131982,114.90684875703425,12.766760752743366,123,119,-1.395399596516811,True,True
2026-06-22,114.90684875703425,129.05889454012424,12.316102944406637,136,136,-1.5216111715401937,True,True
2026-06-29,129.05889454012424,141.18744757491083,9.397688611857614,145,144,-3.5673793605433324,True,False
2026-07-06,141.18744757491083,146.91554796776794,4.057088991440194,22,22,-1.1016133792329574,False,False
2026-07-13,146.91554796776794,152.91699397580328,4.084963158121302,87,87,-2.321645074748502,False,False
2026-07-20,152.91699397580328,176.82547697827056,15.634941794795164,155,152,-0.9952147635342468,True,True
2026-07-27,176.82547697827056,197.56247087803837,11.72737902599641,113,113,-1.2605906192060035,True,True
2026-08-03,197.56247087803837,225.50276421125233,14.142510573509881,90,90,-1.4442853059165595,True,True
2026-08-10,225.50276421125233,234.50819150411004,3.9934886493991684,30,30,-1.1797122588380504,False,False
