asset,trades,wins,losses,flat,net_pnl,gross_win_pnl,gross_loss_pnl,nonflat_win_rate,avg_win_pnl,avg_loss_pnl,profit_factor,avg_net_r,avg_mfe_r,avg_mae_r,avg_giveback_r,cost_r_sum
V25,18,4,5,9,-1.6215464599999827,0.8187282399999893,-2.4402746999999723,0.4444444444444444,0.20468205999999733,-0.48805493999999444,0.33550658866397237,-0.125936280879462,1.0036474728481781,0.5706632498713681,0.8518059759498672,0.0
V50,1,0,0,1,0.0,0.0,0.0,,0.0,0.0,,0.0,1.3155658543064446,0.09902590388339794,1.3155658543064446,0.0
XRPUSD,1,0,0,1,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0276679841896343,0.6324110671937967,1.0276679841896343,0.0
GBPUSD,24,6,5,13,0.005142964286180024,1.6693572500001963,-1.6642142857140163,0.5454545454545454,0.27822620833336603,-0.33284285714280326,1.0030903257653345,-0.03687642030484382,1.0970693821559456,0.38423459794576603,0.9256124691274948,0.0
EURGBP,26,9,13,4,0.11655325000087557,5.419285392857334,-5.302732142856458,0.4090909090909091,0.6021428214285927,-0.40790247252741985,1.0219798486630878,-0.185902754099777,0.9727994355742509,1.204140447305588,0.6587021896741239,0.0
V10,7,2,1,4,0.23297588571422967,0.7795556071427745,-0.5465797214285448,0.6666666666666666,0.38977780357138725,-0.5465797214285448,1.426243193042951,0.060911690301986364,1.099811526298796,0.40978146299075885,0.9569543834416532,0.0
WTI,17,5,6,6,0.3471064285713936,2.577859999999987,-2.2307535714285933,0.45454545454545453,0.5155719999999974,-0.37179226190476555,1.1556005257672204,0.05583154119581232,1.080690095065861,0.7718035792186592,0.6719173773994568,0.0
EURUSD,14,4,5,5,0.5884667857170456,3.285463214288531,-2.6969964285714854,0.4444444444444444,0.8213658035721327,-0.5393992857142971,1.218193387089036,-0.09195768841852119,1.0777847581645608,0.8787148715883619,0.8125995894401944,0.0
US100,33,9,7,17,0.7170360514287797,6.796714765714399,-6.0796787142856195,0.5625,0.7551905295238222,-0.8685255306122314,1.1179397933880844,0.07096341195286478,1.115612535370244,0.5907336750702955,0.8325279112961715,0.0
US30,18,5,3,10,1.3053964714283939,1.9717230428569745,-0.6663265714285806,0.625,0.3943446085713949,-0.22210885714286022,2.959094125016912,0.17521619779043043,1.1364118577468076,0.4325744936783449,0.8918895892021437,0.0
JP225,4,3,0,1,1.6930122321430099,1.6930122321430099,0.0,1.0,0.5643374107143366,0.0,,0.6335353853009309,1.734190531722902,0.2893276771147882,1.1006551464219712,0.0
