entry_hour_utc,trades,wins,losses,flat,net_pnl,gross_win_pnl,gross_loss_pnl,nonflat_win_rate,avg_win_pnl,avg_loss_pnl,profit_factor,avg_net_r,avg_mfe_r,avg_mae_r,avg_giveback_r,cost_r_sum
12,45,10,9,26,-1.3551180499997293,3.734974821428857,-5.0900928714285865,0.5263157894736842,0.3734974821428857,-0.5655658746031763,0.7337734135252818,-0.035558496474046394,1.0291010683845279,0.4875883007035632,0.8646595648585742,0.0
3,26,6,6,14,-0.9162084999998938,3.1681109642856087,-4.084319464285503,0.5,0.5280184940476015,-0.6807199107142505,0.7756765825955848,0.1936599849019534,1.2835579557468135,0.5027724770990986,0.8591287400756232,0.0
6,32,9,8,15,0.35426482142939164,3.7791562142862762,-3.4248913928568845,0.5294117647058824,0.4199062460318085,-0.42811142410711056,1.103438264398183,0.016069745097614573,1.1374932837686613,0.5940422041278954,0.8714235386710667,0.0
1,16,5,5,6,1.3704314285715018,3.9035331428572553,-2.5331017142857535,0.5,0.780706628571451,-0.5066203428571507,1.5410092381378833,0.2516636245504231,1.331208299388761,0.5890230572764523,0.7670446748383316,0.0
14,49,11,10,28,1.5995656967853327,7.521067833571379,-5.921502136786048,0.5238095238095238,0.68373343941558,-0.5921502136786048,1.2701283660523193,0.07560157989851528,1.165758653870222,0.6054404294538439,0.8860754413186438,0.0
5,34,10,10,14,1.601174285713709,8.31757514285744,-6.71640085714373,0.5,0.831757514285744,-0.6716400857143731,1.2383976656203688,0.18301926564626758,1.246892318476583,0.6559525594196339,0.7697554057714753,0.0
22,39,20,9,10,1.7978374428576065,6.3041978714285305,-4.5063604285709244,0.6896551724137931,0.31520989357142654,-0.5007067142856583,1.3989555365920305,0.2786725087726186,1.16918747637584,0.6646075617246243,0.6597457368340139,0.0
19,71,18,20,33,2.8142832571433223,12.96439518571576,-10.150111928572441,0.47368421052631576,0.720244176984209,-0.507505596428622,1.2772662288798162,0.014812022721304434,1.0075420645304933,0.6612864770407373,0.7137244648867006,0.0
4,19,7,4,8,4.103555000002325,6.572703571430514,-2.4691485714281884,0.6363636363636364,0.938957653061502,-0.6172871428570471,2.6619311804428096,0.40710275736877205,1.4563451321640641,0.5175500056395391,0.8387160590058521,0.0
9,30,13,4,13,4.437134907142846,7.154191442857129,-2.717056535714282,0.7647058823529411,0.5503224186813176,-0.6792641339285705,2.6330668312635517,0.4336082187905254,1.4307398403669813,0.4531414787610989,0.863798288243122,0.0
11,42,15,8,19,4.68828179414311,8.112473658428883,-3.4241918642857727,0.6521739130434783,0.5408315772285922,-0.4280239830357216,2.3691644568874075,0.21310822889903652,1.273299577408596,0.507049690857022,0.8798671064170336,0.0
17,34,15,7,12,5.903188753570566,10.027624324999186,-4.12443557142862,0.6818181818181818,0.668508288333279,-0.58920508163266,2.431271904079186,0.2561310479145989,1.3298573721079994,0.5250002784543313,0.8678439712522135,0.0
7,28,11,1,16,6.156710928571057,6.718962357142486,-0.5622514285714288,0.9166666666666666,0.6108147597402259,-0.5622514285714288,11.95010277557508,0.5076489293345174,1.5514494326353252,0.29045637728535806,1.0080862175865215,0.0
10,43,13,5,25,7.149556310571235,10.13126743914256,-2.981711128571325,0.7222222222222222,0.7793282645494277,-0.596342225714265,3.397803141311317,0.3441906876915786,1.3618945196259629,0.4666523388277693,0.9014247621669441,0.0
16,34,14,4,16,7.863214999999894,8.658004999999907,-0.7947900000000123,0.7777777777777778,0.618428928571422,-0.19869750000000308,10.893449842096368,0.4539548227662107,1.3732430609012416,0.5059630992087787,0.8365062799915987,0.0
13,58,23,17,18,8.368394845928666,17.206223103428705,-8.837828257500039,0.575,0.7480966566708133,-0.5198722504411788,1.9468836236806255,0.19567434552784435,1.262544022802138,0.73187925949015,0.773766228998428,0.0
23,40,19,4,17,9.17606897142943,11.091065400000991,-1.914996428571559,0.8260869565217391,0.5837402842105784,-0.47874910714288976,5.791689861413516,0.49152856796862104,1.5293397655119092,0.421802023088299,0.9378111975432816,0.0
18,29,9,3,17,9.443380378571764,11.256880271428908,-1.8134998928571464,0.75,1.250764474603212,-0.6044999642857155,6.207268230765558,0.36513718971967635,1.359434110960114,0.36614797329120824,0.8908486453783716,0.0
2,27,14,2,11,9.544767378571601,10.542024378571606,-0.9972570000000038,0.875,0.7530017413265433,-0.4986285000000019,10.571020688319626,0.8137960049883921,1.791256748447553,0.42293937726391184,0.9033866693850879,0.0
15,44,19,5,20,10.182788158571515,12.27703541571436,-2.094247257142844,0.7916666666666666,0.6461597587218084,-0.41884945142856883,5.862266441482067,0.40906026447641464,1.3724757950437054,0.43847990486696115,0.8497791669309266,0.0
8,33,11,3,19,11.36033479335729,13.40313381871433,-2.0427990253570423,0.7857142857142857,1.2184667107922118,-0.6809330084523474,6.56116125587622,0.9279390366830657,1.9439514293621478,0.33828031829343735,0.9251033017699939,0.0
0,58,24,8,26,13.326236084998905,18.011947392141764,-4.685711307142856,0.75,0.7504978080059068,-0.585713913392857,3.8440156064852977,0.36767945106720845,1.40328056972143,0.6336674826630321,0.8976700841714643,0.0
20,70,28,17,25,19.79942943964523,28.550441296788147,-8.751011857142915,0.6222222222222222,1.0196586177424338,-0.5147654033613479,3.2625302951091504,0.34456773217477754,1.3540749539422634,0.5834823730279511,0.8091320905310339,0.0
21,201,122,62,17,98.2429853571484,125.39497464286097,-27.15198928571258,0.6630434782608695,1.0278276610070571,-0.4379353110598803,4.618261053485463,0.6153648957063689,1.7039363233105542,1.0749507309386834,0.7822002733420643,0.0
