date_utc,trades,net_pnl,losses
2026-06-02,29,-2.3801867857139216,11
2026-06-07,7,-1.9593289285714484,4
2026-07-13,22,-1.50550884657186,5
2026-07-01,6,-1.060030750000368,3
2026-06-30,19,-0.8447918392857506,4
2026-06-11,2,-0.5622514285714288,1
2026-06-28,6,-0.30699866071425086,3
2026-07-25,4,-0.2829821428571151,1
2026-07-19,8,-0.26693965035697687,5
2026-06-20,2,-0.15705714285714978,1
2026-08-02,7,-0.14493719999994506,3
2026-07-24,17,-0.0891315335714972,3
2026-08-07,7,-0.04764285714280447,1
2026-07-31,14,-0.04009055371430037,5
2026-07-07,3,0.0,0
2026-06-27,2,0.0,0
2026-07-18,2,0.12385499999997918,0
2026-07-29,22,0.17839557142876705,8
2026-07-12,10,0.2290783571427957,3
2026-06-21,9,0.30070275000011465,4
2026-08-01,5,0.403714285714301,0
2026-06-23,21,0.40648266428609414,6
2026-08-06,18,0.4069976428571076,7
2026-06-18,25,0.5180937428569763,5
2026-08-04,16,0.792616571428709,6
2026-06-08,21,0.8006922028573772,5
2026-07-22,32,1.0043231651428561,10
2026-06-26,11,1.0049015357142106,4
2026-07-05,6,1.0628790000000805,0
2026-07-09,21,1.0680673142859454,3
