behavior,kind,activate_mfe_r,parameter_r,bars,gate_metric,gate_direction,gate_threshold,applications,discovery_pass,validation_pass,disc_n,disc_delta_usd,disc_wins,disc_losses,disc_flats,disc_flat_to_profit,disc_flat_to_loss,disc_losses_improved,disc_loss_to_nonloss,disc_winners_harmed,disc_winner_to_loss,hold_n,hold_delta_usd,hold_wins,hold_losses,hold_flats,hold_flat_to_profit,hold_flat_to_loss,hold_losses_improved,hold_loss_to_nonloss,hold_winners_harmed,hold_winner_to_loss,all_n,all_delta_usd,all_wins,all_losses,all_flats,all_flat_to_profit,all_flat_to_loss,all_losses_improved,all_loss_to_nonloss,all_winners_harmed,all_winner_to_loss,joint_pass,repair_score
close_a0.50_r0.20_1b,close,0.5,0.2,1,reliability_strategy_win,le,0.30622738525995047,28,True,True,823,1.216037765713713,347,160,316,11,0,7,7,3,0,279,0.7299920000003959,124,63,92,6,0,1,1,0,0,1102,1.9460297657141092,471,223,408,17,0,8,8,3,0,True,59.5
close_a0.50_r0.15_1b,close,0.5,0.15,1,reliability_strategy_win,le,0.30622738525995047,21,True,True,823,1.0895777657137264,343,160,320,7,0,7,7,2,0,279,0.37488000000039456,122,63,94,4,0,1,1,0,0,1102,1.4644577657141211,465,223,414,11,0,8,8,2,0,True,54.0
close_a0.50_r0.20_1b,close,0.5,0.2,1,reliability_score,le,0.017944480852766842,31,True,True,823,0.12307426571462576,346,161,316,11,0,6,6,6,0,279,0.21999200000040506,124,63,92,6,0,1,1,1,0,1102,0.34306626571503085,470,224,408,17,0,7,7,7,0,True,52.0
close_a0.50_r0.20_1b,close,0.5,0.2,1,reliability_expected_r,le,0.11973611964320728,34,True,True,823,0.1171713014289113,346,161,316,11,0,6,6,8,0,279,0.22063485714319117,124,63,92,6,0,1,1,1,0,1102,0.33780615857210256,470,224,408,17,0,7,7,9,0,True,51.0
close_a0.50_r0.20_1b,close,0.5,0.2,1,reliability_strategy_mean_r,le,0.11197295753630912,25,True,True,823,2.1182312299998456,345,162,316,11,0,5,5,4,0,279,0.20963485714281177,121,63,95,3,0,1,1,0,0,1102,2.3278660871426573,466,225,411,14,0,6,6,4,0,True,45.0
lock_a0.50_f0.15,lock,0.5,0.15,1,quality,ge,0.8400000000000001,25,True,True,823,0.5424762873038032,343,161,319,8,0,7,6,5,0,279,0.5915343385710881,122,64,93,5,0,0,0,0,0,1102,1.1340106258748914,465,225,412,13,0,7,6,5,0,True,45.0
lock_a0.50_f0.20,lock,0.5,0.2,1,quality,ge,0.8400000000000001,26,True,True,823,0.6928655830708785,343,161,319,8,0,7,6,6,0,279,0.7766124514285729,122,64,93,5,0,0,0,0,0,1102,1.4694780344994514,465,225,412,13,0,7,6,6,0,True,44.5
close_a0.50_r0.10_1b,close,0.5,0.1,1,reliability_strategy_win,le,0.30622738525995047,16,True,True,823,0.6652299085710922,341,162,320,7,0,5,5,1,0,279,0.13388000000016745,120,63,96,2,0,1,1,0,0,1102,0.7991099085712596,461,225,416,9,0,6,6,1,0,True,41.5
close_a0.50_r0.20_1b,close,0.5,0.2,1,trailing_win_rate,le,0.30716723549488056,23,True,True,823,0.9805556942860937,342,163,318,9,0,4,4,4,0,279,0.6771920000003894,123,63,93,5,0,1,1,0,0,1102,1.657747694286483,465,226,411,14,0,5,5,4,0,True,39.5
close_a0.50_r0.15_1b,close,0.5,0.15,1,reliability_strategy_mean_r,le,0.11197295753630912,18,True,True,823,1.991771229999859,341,162,320,7,0,5,5,3,0,279,0.09652285714291423,119,63,97,1,0,1,1,1,0,1102,2.0882940871427733,460,225,417,8,0,6,6,4,0,True,39.0
close_a0.50_r0.15_1b,close,0.5,0.15,1,trailing_win_rate,le,0.30716723549488056,18,True,True,823,0.9263156942860696,339,163,321,6,0,4,4,3,0,279,0.37488000000039456,122,63,94,4,0,1,1,0,0,1102,1.3011956942864642,461,226,415,10,0,5,5,3,0,True,36.0
close_a0.50_r0.10_1b,close,0.5,0.1,1,reliability_strategy_mean_r,le,0.11197295753630912,15,True,True,823,1.6588617657143534,340,163,320,7,0,4,4,1,0,279,0.0815228571428426,119,63,97,1,0,1,1,1,0,1102,1.740384622857196,459,226,417,8,0,5,5,2,0,True,34.5
