variant,partial_mfe_r,partial_fraction,rescue_mfe_r,rescue_retreat_r,rescue_adverse_bars,early_exits,partial_fills,evidence_class,trades,selection_frozen_end_equity,delta_vs_locked_usd,wins,losses,flats,flat_to_profit,flat_to_loss,losses_improved,loss_to_nonloss,winner_pnl_delta_usd,winners_harmed,winner_to_loss,fresh_delta_usd,selection_frozen_max_dd_pct,discovery_guard_pass
partial_25_at_1.50R,1.5,0.25,,,1,0,124,SELECTION_FROZEN_CAUSAL_MANAGEMENT_DISCOVERY_ONLY,1102,338.54031786297344,1.5280593782483283,446,231,425,0,0,0,0,1.5280593782483276,58,0,1.115592720803178,-4.558662985796258,True
partial_20_at_1.50R,1.5,0.2,,,1,0,124,SELECTION_FROZEN_CAUSAL_MANAGEMENT_DISCOVERY_ONLY,1102,338.23470598732376,1.2224475025986696,446,231,425,0,0,0,0,1.2224475025986699,58,0,0.8924741766425447,-4.559941439716386,True
partial_15_at_1.50R,1.5,0.15,,,1,0,124,SELECTION_FROZEN_CAUSAL_MANAGEMENT_DISCOVERY_ONLY,1102,337.9290941116741,0.9168356269489948,446,231,425,0,0,0,0,0.9168356269489946,58,0,0.6693556324819061,-4.561220610909523,True
partial_10_at_1.50R,1.5,0.1,,,1,0,124,SELECTION_FROZEN_CAUSAL_MANAGEMENT_DISCOVERY_ONLY,1102,337.6234822360244,0.6112237512993373,446,231,425,0,0,0,0,0.6112237512993373,58,0,0.4462370883212734,-4.562500499979438,True
partial_5_at_1.50R,1.5,0.05,,,1,0,124,SELECTION_FROZEN_CAUSAL_MANAGEMENT_DISCOVERY_ONLY,1102,337.31787036037474,0.30561187564966197,446,231,425,0,0,0,0,0.30561187564966197,58,0,0.2231185441606346,-4.563781107530662,True
rescue_0.75R_retreat_+0.10R_1bar,,0.0,0.75,0.1,1,6,0,SELECTION_FROZEN_CAUSAL_MANAGEMENT_DISCOVERY_ONLY,1102,337.2845784847252,0.2723200000001666,452,231,419,6,0,0,0,0.0,0,0,0.05576000000004931,-4.5650624341683095,True
rescue_0.75R_retreat_+0.10R_2bar,,0.0,0.75,0.1,2,1,0,SELECTION_FROZEN_CAUSAL_MANAGEMENT_DISCOVERY_ONLY,1102,337.02801848472507,0.01576000000000931,447,231,424,1,0,0,0,0.0,0,0,0.01576000000000931,-4.5650624341683095,True
control,,0.0,,,1,0,0,SELECTION_FROZEN_CAUSAL_MANAGEMENT_DISCOVERY_ONLY,1102,337.01225848472507,0.0,446,231,425,0,0,0,0,0.0,0,0,0.0,-4.5650624341683095,False
rescue_0.75R_retreat_+0.00R_1bar,,0.0,0.75,0.0,1,0,0,SELECTION_FROZEN_CAUSAL_MANAGEMENT_DISCOVERY_ONLY,1102,337.01225848472507,0.0,446,231,425,0,0,0,0,0.0,0,0,0.0,-4.5650624341683095,False
rescue_0.75R_retreat_+0.00R_2bar,,0.0,0.75,0.0,2,0,0,SELECTION_FROZEN_CAUSAL_MANAGEMENT_DISCOVERY_ONLY,1102,337.01225848472507,0.0,446,231,425,0,0,0,0,0.0,0,0,0.0,-4.5650624341683095,False
