rule_index,behavior,kind,gate_metric,gate_direction,gate_threshold,discovery_applications,discovery_all_delta_usd,discovery_hold_delta_usd,discovery_loss_to_nonloss,discovery_flat_to_profit,discovery_winners_harmed,managed_executions,end_equity,delta_end_equity,compounded_return_pct,executed_trades,wins,losses,flat,nonflat_win_rate,max_weekly_dd_pct,fresh_return_pct,fresh_delta_pct,assets_with_selected,end_equity_not_regressed,fresh_holdout_improved,drawdown_not_worse,loss_flat_repair,full_universe_34x510,promotion_candidate
3,close_a0.50_r0.20_1b,close,reliability_win,le,0.2655132009803008,10,1.2642268371431435,0.5713120000003556,2,8,0,11,343.5447309255116,6.121606715072289,243.5447309255116,1126,467,233,426,0.6671428571428571,-4.637645574907678,7.261646557142409,0.0,33,True,False,True,False,True,False
8,close_a0.50_r0.10_1b,close,trailing_win_rate,le,0.272264631043257,7,0.6007148371430625,0.0280000000001336,2,5,0,7,338.06988460943967,0.6467603990003568,238.06988460943964,1124,464,232,428,0.6666666666666666,-4.637645574907678,7.261646557142409,0.0,33,True,False,True,False,True,False
4,close_a0.50_r0.05_1b,close,reliability_asset_strategy_win,le,0.3265411458233644,5,0.4434540428573448,0.4090771428572982,3,2,0,5,337.90138673186806,0.47826252142874637,237.90138673186806,1102,451,228,423,0.6642120765832106,-4.637645574907678,7.261646557142409,0.0,33,True,False,True,True,True,False
5,close_a0.50_r0.05_1b,close,trailing_win_rate,le,0.3254593175853018,5,0.4434540428573448,0.4090771428572982,3,2,0,5,337.90138673186806,0.47826252142874637,237.90138673186806,1102,451,228,423,0.6642120765832106,-4.637645574907678,7.261646557142409,0.0,33,True,False,True,True,True,False
7,close_a0.50_r0.15_1b,close,reliability_win,le,0.2655132009803008,7,0.731714837143219,0.2690000000003608,2,5,0,8,336.59495010115404,-0.8281741092852712,236.59495010115404,1104,455,229,420,0.6652046783625731,-4.637645574907678,7.261646557142409,0.0,33,False,False,True,True,True,False
11,close_a0.50_r0.10_1b,close,reliability_win,le,0.2655132009803008,5,0.490714837142992,0.0280000000001336,2,3,0,6,336.3133208511538,-1.1098033592855359,236.31332085115378,1104,453,229,422,0.6642228739002932,-4.637645574907678,7.261646557142409,0.0,33,False,False,True,True,True,False
0,close_a0.50_r0.10_1b,close,reliability_strategy_win,le,0.2792262732483457,10,1.2838153371430394,0.043760000000143,3,7,0,11,318.9692595843673,-18.453864626072004,218.9692595843673,1063,434,228,401,0.6555891238670695,-4.637645574907678,7.261646557142409,0.0,32,False,False,True,True,True,False
1,close_a0.50_r0.10_2b,close,trailing_giveback,ge,0.8275796734142848,6,0.7437845510715706,0.3189571428572737,3,3,0,6,318.35090015543864,-19.072224055000675,218.35090015543864,1057,428,225,404,0.655436447166922,-4.637645574907678,7.261646557142409,0.0,32,False,False,True,True,True,False
2,close_a0.50_r0.10_2b,close,quality,ge,0.7296018613408477,6,0.7437845510715706,0.3189571428572737,3,3,0,6,318.35090015543864,-19.072224055000675,218.35090015543864,1057,428,225,404,0.655436447166922,-4.637645574907678,7.261646557142409,0.0,32,False,False,True,True,True,False
9,close_a0.50_r0.10_2b,close,reliability_strategy_win,le,0.3062273852599504,6,0.4685874082144399,0.043760000000143,2,4,0,7,318.0685955840101,-19.354528626429214,218.0685955840101,1057,428,226,403,0.654434250764526,-4.637645574907678,7.261646557142409,0.0,32,False,False,True,True,True,False
10,close_a0.50_r0.15_2b,close,reliability_strategy_win,le,0.3062273852599504,6,0.4685874082144399,0.043760000000143,2,4,0,7,318.0685955840101,-19.354528626429214,218.0685955840101,1057,428,226,403,0.654434250764526,-4.637645574907678,7.261646557142409,0.0,32,False,False,True,True,True,False
6,close_a0.50_r0.20_2b,close,reliability_strategy_win,le,0.3062273852599504,9,1.0068274082144977,0.239760000000283,2,7,0,9,316.6815367982962,-20.741587412143133,216.68153679829615,1061,433,226,402,0.6570561456752656,-4.637645574907678,7.261646557142409,0.0,32,False,False,True,True,True,False
