week_start,start_equity,end_equity,weekly_return_pct,campaigns_entered,campaigns_closed,max_drawdown_pct,ge5,ge10
2026-06-01,100.0,107.66559349285806,7.665593492858069,141,141,-4.637645574907678,True,False
2026-06-08,107.66559349285806,112.20137339285779,4.212840660466521,63,63,-1.5382124642011052,False,False
2026-06-15,112.20137339285779,126.85823437142957,13.062996053758447,99,95,-0.7011383938502425,True,True
2026-06-22,126.85823437142957,143.16417504928765,12.853671469299922,99,99,-1.5869505270076023,True,True
2026-06-29,143.16417504928765,159.3571485707161,11.310772067001839,107,106,-1.8090754622258065,True,True
2026-07-06,159.3571485707161,181.02048821714516,13.59420637274753,88,86,-0.9680709624271144,True,True
2026-07-13,181.02048821714516,202.0792908065735,11.633380727692554,96,96,-1.7695459092180843,True,True
2026-07-20,202.0792908065735,235.81766063564888,16.695609774961607,147,145,-1.029843688189469,True,True
2026-07-27,235.81766063564888,260.61659312122146,10.51614727189083,102,102,-0.9483934330807298,True,True
2026-08-03,260.61659312122146,303.1190964597944,16.30844100506048,74,74,-0.9911160700409871,True,True
2026-08-10,303.1190964597944,343.5447309255116,13.336551519801487,107,107,-0.6333497396418419,True,True
