variant_index,config_id,opportunity_rescue_exits,end_equity,delta_end_equity,fresh_return_pct,fresh_delta_pct,max_weekly_dd_pct,executed_trades,wins,losses,flat,loss_rate,flat_rate,baseline_flat_to_profit,baseline_flat_to_loss,baseline_loss_to_nonloss,baseline_losses_improved,baseline_winner_to_loss,baseline_winners_harmed,added_campaigns,added_pnl,removed_campaigns,removed_control_pnl,end_equity_not_regressed,fresh_holdout_improved,drawdown_not_worse,loss_rate_not_worse,flat_rate_not_worse,baseline_cohort_repaired,incremental_campaigns_economic,full_universe_34x510,promotion_candidate
0,RW265_M50_C20_G30_U05,0,337.4231242104393,0.0,7.261646557142409,0.0,-4.637645574907678,1102,446,231,425,0.20961887477313976,0.3856624319419238,0,0,0,0,0,0,0,0.0,0,0.0,True,False,True,True,True,False,True,True,False
1,RW265_M50_C20_G30_U10,0,337.4231242104393,0.0,7.261646557142409,0.0,-4.637645574907678,1102,446,231,425,0.20961887477313976,0.3856624319419238,0,0,0,0,0,0,0,0.0,0,0.0,True,False,True,True,True,False,True,True,False
2,RW265_M50_C20_G30_U05_W05,0,337.4231242104393,0.0,7.261646557142409,0.0,-4.637645574907678,1102,446,231,425,0.20961887477313976,0.3856624319419238,0,0,0,0,0,0,0,0.0,0,0.0,True,False,True,True,True,False,True,True,False
3,RW265_M50_C20_G30_U05_W04,0,337.4231242104393,0.0,7.261646557142409,0.0,-4.637645574907678,1102,446,231,425,0.20961887477313976,0.3856624319419238,0,0,0,0,0,0,0,0.0,0,0.0,True,False,True,True,True,False,True,True,False
4,TW272_M50_C20_G30_U05,0,337.4231242104393,0.0,7.261646557142409,0.0,-4.637645574907678,1102,446,231,425,0.20961887477313976,0.3856624319419238,0,0,0,0,0,0,0,0.0,0,0.0,True,False,True,True,True,False,True,True,False
5,TW272_M50_C20_G30_U05_W05,0,337.4231242104393,0.0,7.261646557142409,0.0,-4.637645574907678,1102,446,231,425,0.20961887477313976,0.3856624319419238,0,0,0,0,0,0,0,0.0,0,0.0,True,False,True,True,True,False,True,True,False
6,SW279_M50_C20_G30_U05,0,337.4231242104393,0.0,7.261646557142409,0.0,-4.637645574907678,1102,446,231,425,0.20961887477313976,0.3856624319419238,0,0,0,0,0,0,0,0.0,0,0.0,True,False,True,True,True,False,True,True,False
7,SW279_M50_C20_G30_U10_W05,0,337.4231242104393,0.0,7.261646557142409,0.0,-4.637645574907678,1102,446,231,425,0.20961887477313976,0.3856624319419238,0,0,0,0,0,0,0,0.0,0,0.0,True,False,True,True,True,False,True,True,False
8,SW306_M50_C10_G40_U10_W05,0,337.4231242104393,0.0,7.261646557142409,0.0,-4.637645574907678,1102,446,231,425,0.20961887477313976,0.3856624319419238,0,0,0,0,0,0,0,0.0,0,0.0,True,False,True,True,True,False,True,True,False
9,RW265_TW272_M50_C20_G30_U05_W05,0,337.4231242104393,0.0,7.261646557142409,0.0,-4.637645574907678,1102,446,231,425,0.20961887477313976,0.3856624319419238,0,0,0,0,0,0,0,0.0,0,0.0,True,False,True,True,True,False,True,True,False
10,RW265_SW279_M50_C20_G30_U05_W05,0,337.4231242104393,0.0,7.261646557142409,0.0,-4.637645574907678,1102,446,231,425,0.20961887477313976,0.3856624319419238,0,0,0,0,0,0,0,0.0,0,0.0,True,False,True,True,True,False,True,True,False
11,SW279_M75_C20_G55_U10_W05,0,337.4231242104393,0.0,7.261646557142409,0.0,-4.637645574907678,1102,446,231,425,0.20961887477313976,0.3856624319419238,0,0,0,0,0,0,0,0.0,0,0.0,True,False,True,True,True,False,True,True,False
