behavior,kind,activate_mfe_r,parameter_r,bars,gate_metric,gate_direction,gate_threshold,applications_pre_fresh,discovery_pass,validation_pass,disc_n,disc_delta_usd,disc_wins,disc_losses,disc_flats,disc_flat_to_profit,disc_flat_to_loss,disc_losses_improved,disc_loss_to_nonloss,disc_winners_harmed,disc_winner_to_loss,valid_n,valid_delta_usd,valid_wins,valid_losses,valid_flats,valid_flat_to_profit,valid_flat_to_loss,valid_losses_improved,valid_loss_to_nonloss,valid_winners_harmed,valid_winner_to_loss,joint_pass,repair_score
close_a0.50_r0.20_1b,close,0.5,0.2,1,reliability_strategy_win,le,0.30622738525995047,28,True,True,823,1.216037765713713,347,160,316,11,0,7,7,3,0,237,0.729992000000396,106,59,72,6,0,1,1,0,0,True,40.5
close_a0.50_r0.20_1b,close,0.5,0.2,1,reliability_score,le,0.017944480852766842,31,True,True,823,0.12307426571462576,346,161,316,11,0,6,6,6,0,237,0.21999200000040506,106,59,72,6,0,1,1,1,0,True,36.25
close_a0.50_r0.20_1b,close,0.5,0.2,1,reliability_expected_r,le,0.11973611964320728,34,True,True,823,0.1171713014289113,346,161,316,11,0,6,6,8,0,237,0.22063485714319114,106,59,72,6,0,1,1,1,0,True,35.25
close_a0.50_r0.15_1b,close,0.5,0.15,1,reliability_strategy_win,le,0.30622738525995047,21,True,True,823,1.0895777657137264,343,160,320,7,0,7,7,2,0,237,0.3748800000003945,104,59,74,4,0,1,1,0,0,True,34.0
close_a0.50_r0.20_1b,close,0.5,0.2,1,reliability_strategy_mean_r,le,0.11197295753630912,25,True,True,823,2.1182312299998456,345,162,316,11,0,5,5,4,0,237,0.20963485714281174,103,59,75,3,0,1,1,0,0,True,31.5
close_a0.50_r0.20_1b,close,0.5,0.2,1,trailing_win_rate,le,0.30716723549488056,23,True,True,823,0.9805556942860937,342,163,318,9,0,4,4,4,0,237,0.6771920000003895,105,59,73,5,0,1,1,0,0,True,30.5
close_a0.50_r0.10_1b,close,0.5,0.1,1,reliability_strategy_win,le,0.30622738525995047,16,True,True,823,0.6652299085710922,341,162,320,7,0,5,5,1,0,237,0.13388000000016745,102,59,76,2,0,1,1,0,0,True,27.5
close_a0.50_r0.15_1b,close,0.5,0.15,1,trailing_win_rate,le,0.30716723549488056,18,True,True,823,0.9263156942860696,339,163,321,6,0,4,4,3,0,237,0.3748800000003945,104,59,74,4,0,1,1,0,0,True,26.5
close_a0.50_r0.20_1b,close,0.5,0.2,1,reliability_strategy_mean_r,le,0.11093802037669297,20,True,True,823,1.4146673728570218,341,164,318,9,0,3,3,3,0,237,0.20963485714281174,103,59,75,3,0,1,1,0,0,True,26.0
lock_a0.50_f0.15,lock,0.5,0.15,1,quality,ge,0.8400000000000001,25,True,True,823,0.5424762873038032,343,161,319,8,0,7,6,5,0,237,0.5915343385710881,104,60,73,5,0,0,0,0,0,True,25.0
lock_a0.50_f0.20,lock,0.5,0.2,1,quality,ge,0.8400000000000001,26,True,True,823,0.6928655830708785,343,161,319,8,0,7,6,6,0,237,0.7766124514285729,104,60,73,5,0,0,0,0,0,True,24.5
close_a0.50_r0.15_1b,close,0.5,0.15,1,reliability_strategy_mean_r,le,0.11197295753630912,18,True,True,823,1.991771229999859,341,162,320,7,0,5,5,3,0,237,0.09652285714291423,101,59,77,1,0,1,1,1,0,True,24.25
close_a0.50_r0.05_1b,close,0.5,0.05,1,reliability_score,le,0.07922181291414032,8,True,True,823,0.3204354714286156,333,164,326,1,0,3,3,1,0,237,0.4090771428572982,102,58,77,1,0,2,2,0,0,True,24.0
close_a0.50_r0.05_1b,close,0.5,0.05,1,stability,le,0.2566054712996296,8,True,True,823,0.3204354714286156,333,164,326,1,0,3,3,1,0,237,0.4090771428572982,102,58,77,1,0,2,2,0,0,True,24.0
close_a0.50_r0.05_1b,close,0.5,0.05,1,rank_score,le,0.47499746846600327,8,True,True,823,0.3204354714286156,333,164,326,1,0,3,3,1,0,237,0.4090771428572982,102,58,77,1,0,2,2,0,0,True,24.0
close_a0.50_r0.20_1b,close,0.5,0.2,1,reliability_strategy_win,le,0.2792262732483457,19,True,True,823,1.4205703371427365,341,164,318,9,0,3,3,1,0,237,0.6398720000003715,105,60,72,6,0,0,0,0,0,True,23.5
close_a0.50_r0.05_1b,close,0.5,0.05,1,reliability_expected_r,le,0.21481947009822153,9,True,True,823,0.24277090000004434,333,164,326,1,0,3,3,2,0,237,0.4090771428572982,102,58,77,1,0,2,2,0,0,True,23.5
close_a0.50_r0.05_1b,close,0.5,0.05,1,reliability_asset_strategy_mean_r,le,0.3494376818480413,9,True,True,823,0.24277090000004434,333,164,326,1,0,3,3,2,0,237,0.4090771428572982,102,58,77,1,0,2,2,0,0,True,23.5
close_a0.50_r0.05_1b,close,0.5,0.05,1,reliability_asset_strategy_mean_r,le,0.41417781315300256,9,True,True,823,0.24277090000004434,333,164,326,1,0,3,3,2,0,237,0.4090771428572982,102,58,77,1,0,2,2,0,0,True,23.5
