rank_index,behavior,gate_metric,gate_direction,gate_threshold,managed_executions,end_equity,delta_end_equity,executed_trades,wins,losses,flat,nonflat_win_rate,max_weekly_dd_pct,fresh_return_pct,aug13_14_verification_delta_pct,end_equity_not_regressed,aug13_14_verification_not_regressed,drawdown_not_worse,loss_flat_repair,nonflat_win_rate_not_worse,selected_asset_coverage_not_worse,full_universe_34x510,pre_forward_candidate
9,lock_a1.00_f0.15,quality,ge,0.8400000000000001,3,337.5318520918679,0.10872788142859235,1102,449,231,422,0.6602941176470588,-4.637645574907678,7.261646557142409,0.0,True,True,True,True,True,True,True,True
2,close_a0.50_r0.20_1b,reliability_score,le,0.0179444808527668,35,346.77810960551267,9.354985395073356,1158,493,237,428,0.6753424657534246,-4.18377581193673,7.261646557142409,0.0,True,True,True,False,True,True,True,False
3,close_a0.50_r0.20_1b,reliability_expected_r,le,0.1197361196432072,38,346.7728018197983,9.349677609358992,1159,493,237,429,0.6753424657534246,-4.18377581193673,7.261646557142409,0.0,True,True,True,False,True,True,True,False
6,lock_a0.50_f0.15,quality,ge,0.8400000000000001,26,343.01384142531543,5.590717214876122,1165,488,241,436,0.6694101508916324,-4.637645574907678,7.261646557142409,0.0,True,True,True,False,True,True,True,False
8,lock_a1.00_f0.20,quality,ge,0.8148595874560972,7,337.32623533622507,-0.09688887421424397,1102,451,231,420,0.6612903225806451,-4.637645574907678,7.1032915571424216,-0.1583549999999878,False,False,True,True,True,True,True,False
10,close_a0.50_r0.10_1b,reliability_strategy_win,le,0.3062273852599504,17,324.3763225907959,-13.046801619643418,1061,440,223,398,0.6636500754147813,-4.2413162799430415,7.261646557142409,0.0,False,True,True,True,True,False,True,False
11,close_a0.50_r0.15_1b,trailing_win_rate,le,0.3071672354948805,19,323.1174958850829,-14.305628325356395,1091,453,230,408,0.6632503660322109,-4.637645574907678,7.261646557142409,0.0,False,True,True,True,True,False,True,False
4,close_a0.50_r0.20_1b,trailing_win_rate,le,0.3071672354948805,23,314.19321587043885,-23.229908340000463,1098,453,235,410,0.6584302325581395,-4.637645574907678,7.261646557142409,0.0,False,True,True,False,False,False,True,False
1,close_a0.50_r0.15_1b,reliability_strategy_win,le,0.3062273852599504,21,306.7908026604369,-30.632321550002416,1043,430,220,393,0.6615384615384615,-4.2413162799430415,7.261646557142409,0.0,False,True,True,True,True,False,True,False
7,lock_a0.50_f0.20,quality,ge,0.8400000000000001,24,300.19020771707915,-37.232916493360165,1050,439,221,390,0.6651515151515152,-4.637645574907678,7.261646557142409,0.0,False,True,True,True,True,False,True,False
0,close_a0.50_r0.20_1b,reliability_strategy_win,le,0.3062273852599504,27,300.0212798550797,-37.40184435535963,1043,437,220,386,0.665144596651446,-4.2413162799430415,7.261646557142409,0.0,False,True,True,True,True,False,True,False
5,close_a0.50_r0.20_1b,reliability_strategy_mean_r,le,0.1119729575363091,24,296.51102759879444,-40.91209661164487,1040,435,220,385,0.6641221374045801,-4.2413162799430415,7.261646557142409,0.0,False,True,True,True,True,False,True,False
