target,rule_type,field1,dir1,threshold1,quantile1,field2,dir2,threshold2,quantile2,disc_excluded,disc_excluded_pct,disc_target_removed,disc_wins_removed,disc_losses_removed,disc_flats_removed,disc_selection_frozen_delta_usd,disc_winner_pnl_removed,disc_loss_pnl_removed,disc_target_precision,valid_excluded,valid_excluded_pct,valid_target_removed,valid_wins_removed,valid_losses_removed,valid_flats_removed,valid_selection_frozen_delta_usd,valid_winner_pnl_removed,valid_loss_pnl_removed,valid_target_precision,discovery_pass,repair_score
barely_developed_loss,1D,rank_score,le,0.3262616466952146,0.1,,,,,83,0.10085054678007291,10,28,17,38,-10.32792579878549,16.992199989857284,-6.664274191071793,0.12048192771084337,11,0.046413502109704644,2,3,3,5,-2.304643271428512,3.2983254142857312,-0.9936821428572191,0.18181818181818182,False,-117.5
barely_developed_loss,1D,expected_r,le,0.036071880864820556,0.1,,,,,84,0.10206561360874848,8,31,15,38,-12.979402183070528,19.999105559856563,-7.019703376786035,0.09523809523809523,5,0.02109704641350211,2,1,3,1,-3.0559178571429504,4.0496000000001695,-0.9936821428572191,0.4,False,-118.25
barely_developed_loss,1D,stability,le,0.04290265346146096,0.1,,,,,86,0.10449574726609964,8,32,14,40,-13.68691494157087,20.504969703714053,-6.818054762143177,0.09302325581395349,5,0.02109704641350211,2,1,3,1,-3.0559178571429504,4.0496000000001695,-0.9936821428572191,0.4,False,-122.75
barely_developed_loss,1D,reliability_asset_strategy_mean_r,le,0.031966292844013824,0.1,,,,,83,0.10085054678007291,8,29,15,39,-10.503713790214341,18.251572524143242,-7.747858733928899,0.0963855421686747,2,0.008438818565400843,0,2,0,0,-2.743112628571345,2.743112628571345,0.0,0.0,False,-129.25
barely_developed_loss,1D,reliability_strategy_mean_r,ge,0.16677690115788216,0.9,,,,,94,0.11421628189550426,9,36,17,41,-12.271202510714872,20.12750943928621,-7.856306928571335,0.09574468085106383,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,False,-140.5
barely_developed_loss,1D,reliability_asset_strategy_win,le,0.25269263106155654,0.1,,,,,90,0.10935601458080195,7,28,19,43,-16.01851389735901,26.863716917000858,-10.845203019641849,0.07777777777777778,28,0.11814345991561181,2,4,4,20,-4.8813438748569205,7.287833217714265,-2.406489342857345,0.07142857142857142,False,-140.5
severe_mae_loss,1D,reliability_asset_strategy_mean_r,le,0.031966292844013824,0.1,,,,,83,0.10085054678007291,3,29,15,39,-10.503713790214341,18.251572524143242,-7.747858733928899,0.03614457831325301,2,0.008438818565400843,0,2,0,0,-2.743112628571345,2.743112628571345,0.0,0.0,False,-144.25
barely_developed_loss,1D,trailing_win_rate,le,0.24832869080779946,0.1,,,,,83,0.10085054678007291,7,26,15,42,-9.588368540214137,17.695585845571184,-8.107217305357045,0.08433734939759036,26,0.10970464135021098,1,5,3,18,-5.278948389141964,7.127523446285146,-1.8485750571431827,0.038461538461538464,False,-144.25
severe_mae_loss,1D,expected_r,le,0.036071880864820556,0.1,,,,,84,0.10206561360874848,3,31,15,38,-12.979402183070528,19.999105559856563,-7.019703376786035,0.03571428571428571,5,0.02109704641350211,0,1,3,1,-3.0559178571429504,4.0496000000001695,-0.9936821428572191,0.0,False,-145.25
barely_developed_loss,1D,reliability_expected_r,le,0.031401115543752356,0.1,,,,,86,0.10449574726609964,6,31,17,38,-10.42118257592895,17.92992345271466,-7.508740876785712,0.06976744186046512,10,0.04219409282700422,0,2,1,7,-2.4217375714284968,2.743112628571345,-0.3213750571428482,0.0,False,-146.0
severe_mae_loss,1D,rank_score,le,0.3262616466952146,0.1,,,,,83,0.10085054678007291,4,28,17,38,-10.32792579878549,16.992199989857284,-6.664274191071793,0.04819277108433735,11,0.046413502109704644,0,3,3,5,-2.304643271428512,3.2983254142857312,-0.9936821428572191,0.0,False,-147.5
severe_mae_loss,1D,reliability_expected_r,le,0.031401115543752356,0.1,,,,,86,0.10449574726609964,5,31,17,38,-10.42118257592895,17.92992345271466,-7.508740876785712,0.05813953488372093,10,0.04219409282700422,0,2,1,7,-2.4217375714284968,2.743112628571345,-0.3213750571428482,0.0,False,-149.0
severe_mae_loss,1D,stability,le,0.04290265346146096,0.1,,,,,86,0.10449574726609964,3,32,14,40,-13.68691494157087,20.504969703714053,-6.818054762143177,0.03488372093023256,5,0.02109704641350211,0,1,3,1,-3.0559178571429504,4.0496000000001695,-0.9936821428572191,0.0,False,-149.75
severe_mae_loss,1D,trailing_win_rate,le,0.24832869080779946,0.1,,,,,83,0.10085054678007291,5,26,15,42,-9.588368540214137,17.695585845571184,-8.107217305357045,0.060240963855421686,26,0.10970464135021098,0,5,3,18,-5.278948389141964,7.127523446285146,-1.8485750571431827,0.0,False,-156.25
severe_mae_loss,1D,reliability_asset_strategy_win,le,0.25269263106155654,0.1,,,,,90,0.10935601458080195,5,28,19,43,-16.01851389735901,26.863716917000858,-10.845203019641849,0.05555555555555555,28,0.11814345991561181,0,4,4,20,-4.8813438748569205,7.287833217714265,-2.406489342857345,0.0,False,-158.5
barely_developed_loss,1D,reliability_score,le,-0.1170286712992689,0.1,,,,,83,0.10085054678007291,7,30,14,39,-12.328308361642893,19.94597066700031,-7.617662305357417,0.08433734939759036,23,0.0970464135021097,1,5,3,15,-5.692486731999804,7.832833217714267,-2.1403464857144634,0.043478260869565216,False,-159.5
severe_mae_loss,1D,reliability_strategy_mean_r,ge,0.16677690115788216,0.9,,,,,94,0.11421628189550426,2,36,17,41,-12.271202510714872,20.12750943928621,-7.856306928571335,0.02127659574468085,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,False,-161.5
barely_developed_loss,1D,reliability_win,le,0.2572510157730984,0.1,,,,,83,0.10085054678007291,7,26,18,39,-7.863681754501667,18.370538345572783,-10.506856591071115,0.08433734939759036,41,0.1729957805907173,5,10,8,23,-8.066679817714672,12.615619160572528,-4.548939342857855,0.12195121951219512,False,-164.0
severe_mae_loss,1D,reliability_score,le,-0.1170286712992689,0.1,,,,,83,0.10085054678007291,5,30,14,39,-12.328308361642893,19.94597066700031,-7.617662305357417,0.060240963855421686,23,0.0970464135021097,0,5,3,15,-5.692486731999804,7.832833217714267,-2.1403464857144634,0.0,False,-171.5
barely_developed_loss,1D,quality,ge,0.9188283664440076,0.9,,,,,84,0.10206561360874848,6,27,18,39,-18.638340743712703,29.101965672284237,-10.463624928571532,0.07142857142857142,21,0.08860759493670886,1,9,3,9,-9.679154392857955,13.8289047500016,-4.149750357143645,0.047619047619047616,False,-182.25
severe_mae_loss,1D,reliability_win,le,0.2572510157730984,0.1,,,,,83,0.10085054678007291,5,26,18,39,-7.863681754501667,18.370538345572783,-10.506856591071115,0.060240963855421686,41,0.1729957805907173,2,10,8,23,-8.066679817714672,12.615619160572528,-4.548939342857855,0.04878048780487805,False,-188.0
severe_mae_loss,1D,quality,ge,0.9188283664440076,0.9,,,,,84,0.10206561360874848,4,27,18,39,-18.638340743712703,29.101965672284237,-10.463624928571532,0.047619047619047616,21,0.08860759493670886,0,9,3,9,-9.679154392857955,13.8289047500016,-4.149750357143645,0.0,False,-194.25
barely_developed_loss,1D,decision_hour,le,3.0,0.1,,,,,93,0.11300121506682867,8,31,17,45,-9.122286278571645,19.895538028571465,-10.773251749999826,0.08602150537634409,21,0.08860759493670886,1,9,1,11,-13.520374753570781,13.840764753570763,-0.32038999999998197,0.047619047619047616,False,-194.5
barely_developed_loss,1D,rank_score,le,0.3572763578368383,0.2,,,,,165,0.20048602673147023,17,44,44,77,-5.614936728645105,27.24362299828857,-21.62868626964346,0.10303030303030303,40,0.16877637130801687,7,9,15,16,-0.6502211071427686,7.836007307143131,-7.185786200000362,0.175,False,-206.25
severe_mae_loss,1D,decision_hour,le,3.0,0.1,,,,,93,0.11300121506682867,1,31,17,45,-9.122286278571645,19.895538028571465,-10.773251749999826,0.010752688172043012,21,0.08860759493670886,1,9,1,11,-13.520374753570781,13.840764753570763,-0.32038999999998197,0.047619047619047616,False,-215.5
barely_developed_loss,1D,trailing_giveback,le,0.7836478161220687,0.1,,,,,87,0.10571081409477522,10,39,23,25,-11.165580342857515,19.6288400214285,-8.463259678570981,0.11494252873563218,32,0.1350210970464135,6,13,12,7,-21.45864119393046,27.02679580107343,-5.568154607142966,0.1875,False,-223.75
barely_developed_loss,1D,trailing_giveback,ge,0.9101692267290301,0.9,,,,,85,0.10328068043742406,10,46,19,20,-18.941440771429672,26.777746128571856,-7.836305357142182,0.11764705882352941,16,0.06751054852320675,3,8,6,2,-3.6600303214295486,6.618898178571705,-2.9588678571421556,0.1875,False,-225.25
severe_mae_loss,1D,trailing_giveback,ge,0.9101692267290301,0.9,,,,,85,0.10328068043742406,9,46,19,20,-18.941440771429672,26.777746128571856,-7.836305357142182,0.10588235294117647,16,0.06751054852320675,2,8,6,2,-3.6600303214295486,6.618898178571705,-2.9588678571421556,0.125,False,-234.25
barely_developed_loss,1D,expected_r,ge,0.5863367022891707,0.9,,,,,85,0.10328068043742406,12,43,21,21,-19.536584342857193,29.712400414284886,-10.175816071427692,0.1411764705882353,25,0.10548523206751055,3,12,7,6,-26.412612214288586,29.616019357145703,-3.2034071428571145,0.12,False,-241.5
severe_mae_loss,1D,expected_r,ge,0.5863367022891707,0.9,,,,,85,0.10328068043742406,9,43,21,21,-19.536584342857193,29.712400414284886,-10.175816071427692,0.10588235294117647,25,0.10548523206751055,4,12,7,6,-26.412612214288586,29.616019357145703,-3.2034071428571145,0.16,False,-244.5
barely_developed_loss,1D,reliability_score,le,-0.08565533530457692,0.2,,,,,165,0.20048602673147023,13,48,33,84,-13.529755711642991,31.115060266999627,-17.585304555356636,0.07878787878787878,34,0.14345991561181434,2,7,5,22,-6.234303874855964,9.870636074856492,-3.6363322000005276,0.058823529411764705,False,-246.75
severe_mae_loss,1D,trailing_giveback,le,0.7836478161220687,0.1,,,,,87,0.10571081409477522,6,39,23,25,-11.165580342857515,19.6288400214285,-8.463259678570981,0.06896551724137931,32,0.1350210970464135,3,13,12,7,-21.45864119393046,27.02679580107343,-5.568154607142966,0.09375,False,-253.75
barely_developed_loss,1D,expected_r,le,0.07848740026365177,0.2,,,,,165,0.20048602673147023,15,54,34,77,-21.10751472592787,38.36623138842813,-17.25871666250026,0.09090909090909091,31,0.1308016877637131,5,8,9,14,-6.063889481999997,9.941573824857237,-3.877684342857239,0.16129032258064516,False,-254.0
barely_developed_loss,1D,reliability_expected_r,ge,0.27551975578017085,0.9,,,,,83,0.10085054678007291,11,41,17,25,-12.858175071428834,22.32456435714298,-9.466389285714143,0.13253012048192772,32,0.1350210970464135,3,15,8,9,-27.190082107145834,30.749660678574404,-3.5595785714285646,0.09375,False,-261.75
severe_mae_loss,1D,rank_score,le,0.3572763578368383,0.2,,,,,165,0.20048602673147023,8,44,44,77,-5.614936728645105,27.24362299828857,-21.62868626964346,0.048484848484848485,40,0.16877637130801687,2,9,15,16,-0.6502211071427686,7.836007307143131,-7.185786200000362,0.05,False,-263.25
severe_mae_loss,1D,reliability_expected_r,ge,0.27551975578017085,0.9,,,,,83,0.10085054678007291,6,41,17,25,-12.858175071428834,22.32456435714298,-9.466389285714143,0.07228915662650602,32,0.1350210970464135,5,15,8,9,-27.190082107145834,30.749660678574404,-3.5595785714285646,0.15625,False,-264.75
severe_mae_loss,1D,reliability_score,le,-0.08565533530457692,0.2,,,,,165,0.20048602673147023,9,48,33,84,-13.529755711642991,31.115060266999627,-17.585304555356636,0.05454545454545454,34,0.14345991561181434,0,7,5,22,-6.234303874855964,9.870636074856492,-3.6363322000005276,0.0,False,-270.75
barely_developed_loss,1D,stability,le,0.08985034339192623,0.2,,,,,165,0.20048602673147023,16,54,37,74,-20.234049247356403,38.611305195571,-18.37725594821459,0.09696969696969697,42,0.17721518987341772,6,11,12,19,-5.1716566248560305,12.106205253428037,-6.934548628572006,0.14285714285714285,False,-271.75
barely_developed_loss,1D,reliability_asset_strategy_mean_r,le,0.0818494506114442,0.2,,,,,166,0.20170109356014582,16,55,37,74,-15.75671156878517,33.94805030271375,-18.19133873392858,0.0963855421686747,42,0.17721518987341772,5,10,11,21,-5.350235196284575,11.979376681999462,-6.629141485714885,0.11904761904761904,False,-274.0
barely_developed_loss,1D,reliability_asset_strategy_mean_r,ge,0.4610616472145215,0.9,,,,,84,0.10206561360874848,11,44,16,24,-18.759827535714205,26.649156107142588,-7.889328571428388,0.13095238095238096,32,0.1350210970464135,3,15,8,9,-27.190082107145834,30.749660678574404,-3.5595785714285646,0.09375,False,-274.0
severe_mae_loss,1D,reliability_asset_strategy_mean_r,ge,0.4610616472145215,0.9,,,,,84,0.10206561360874848,6,44,16,24,-18.759827535714205,26.649156107142588,-7.889328571428388,0.07142857142857142,32,0.1350210970464135,5,15,8,9,-27.190082107145834,30.749660678574404,-3.5595785714285646,0.15625,False,-277.0
barely_developed_loss,1D,reliability_expected_r,le,0.055337280360104116,0.2,,,,,167,0.20291616038882138,15,56,38,73,-14.841607997357022,34.20732201699959,-19.365714019642567,0.08982035928143713,36,0.1518987341772152,4,9,8,19,-6.574863839142017,10.389602110570785,-3.8147382714287676,0.1111111111111111,False,-277.75
barely_developed_loss,1D,rank_score,ge,0.6081325952642994,0.9,,,,,83,0.10085054678007291,12,50,16,17,-24.99850900000031,31.756648285713755,-6.758139285713444,0.14457831325301204,28,0.11814345991561181,3,13,7,8,-27.51361221428821,30.717019357145322,-3.2034071428571145,0.10714285714285714,False,-277.75
severe_mae_loss,1D,rank_score,ge,0.6081325952642994,0.9,,,,,83,0.10085054678007291,7,50,16,17,-24.99850900000031,31.756648285713755,-6.758139285713444,0.08433734939759036,28,0.11814345991561181,4,13,7,8,-27.51361221428821,30.717019357145322,-3.2034071428571145,0.14285714285714285,False,-286.75
barely_developed_loss,1D,stability,ge,0.5485997582722664,0.9,,,,,84,0.10206561360874848,12,42,19,23,-18.907698442857743,26.226339514285577,-7.318641071427829,0.14285714285714285,34,0.14345991561181434,3,18,7,9,-30.44841935714565,33.65182650000276,-3.2034071428571145,0.08823529411764706,False,-287.5
barely_developed_loss,1D,reliability_win,le,0.2655132009803008,0.2,,,,,165,0.20048602673147023,10,46,31,88,-23.386196297357838,40.4314707098573,-17.045274412499474,0.06060606060606061,57,0.24050632911392406,8,16,13,28,-13.38218587485838,21.68518850343136,-8.30300262857298,0.14035087719298245,False,-289.5
severe_mae_loss,1D,stability,ge,0.5485997582722664,0.9,,,,,84,0.10206561360874848,8,42,19,23,-18.907698442857743,26.226339514285577,-7.318641071427829,0.09523809523809523,34,0.14345991561181434,4,18,7,9,-30.44841935714565,33.65182650000276,-3.2034071428571145,0.11764705882352941,False,-293.5
barely_developed_loss,1D,trailing_win_rate,le,0.272264631043257,0.2,,,,,170,0.2065613608748481,13,47,35,88,-24.309751918786276,44.3204352241429,-20.010683305356626,0.07647058823529412,61,0.25738396624472576,7,17,14,30,-10.470963946286119,18.770839396286945,-8.299875450000822,0.11475409836065574,False,-300.75
barely_developed_loss,1D,reliability_score,ge,0.27630626870155034,0.9,,,,,84,0.10206561360874848,12,55,21,8,-21.103330821429026,29.891959392856712,-8.788628571427687,0.14285714285714285,29,0.12236286919831224,6,16,11,2,-25.388010857145943,29.82175014285974,-4.433739285713797,0.20689655172413793,False,-304.25
severe_mae_loss,1D,expected_r,le,0.07848740026365177,0.2,,,,,165,0.20048602673147023,5,54,34,77,-21.10751472592787,38.36623138842813,-17.25871666250026,0.030303030303030304,31,0.1308016877637131,1,8,9,14,-6.063889481999997,9.941573824857237,-3.877684342857239,0.03225806451612903,False,-308.0
severe_mae_loss,1D,reliability_score,ge,0.27630626870155034,0.9,,,,,84,0.10206561360874848,9,55,21,8,-21.103330821429026,29.891959392856712,-8.788628571427687,0.10714285714285714,29,0.12236286919831224,6,16,11,2,-25.388010857145943,29.82175014285974,-4.433739285713797,0.20689655172413793,False,-313.25
severe_mae_loss,1D,reliability_expected_r,le,0.055337280360104116,0.2,,,,,167,0.20291616038882138,9,56,38,73,-14.841607997357022,34.20732201699959,-19.365714019642567,0.05389221556886228,36,0.1518987341772152,0,9,8,19,-6.574863839142017,10.389602110570785,-3.8147382714287676,0.0,False,-319.75
barely_developed_loss,1D,reliability_asset_strategy_win,le,0.2711849864472477,0.2,,,,,168,0.20413122721749696,12,48,35,85,-22.866840190214905,41.20150117414301,-18.334660983928103,0.07142857142857142,59,0.2489451476793249,8,20,12,27,-16.702185160572697,24.710735217717083,-8.008550057144387,0.13559322033898305,False,-324.75
severe_mae_loss,1D,stability,le,0.08985034339192623,0.2,,,,,165,0.20048602673147023,6,54,37,74,-20.234049247356403,38.611305195571,-18.37725594821459,0.03636363636363636,42,0.17721518987341772,2,11,12,19,-5.1716566248560305,12.106205253428037,-6.934548628572006,0.047619047619047616,False,-325.75
