target,scope_type,scope_value,rule_type,feature1,dir1,threshold1,q1,feature2,dir2,threshold2,q2,disc_excluded,disc_excluded_pct,disc_target_removed,disc_target_precision,disc_target_lift,disc_wins_removed,disc_losses_removed,disc_flats_removed,disc_winner_pnl_removed,disc_loss_pnl_removed,disc_selection_frozen_delta_usd,valid_excluded,valid_excluded_pct,valid_target_removed,valid_target_precision,valid_target_lift,valid_wins_removed,valid_losses_removed,valid_flats_removed,valid_winner_pnl_removed,valid_loss_pnl_removed,valid_selection_frozen_delta_usd,clean_pass,score
barely_developed_loss,ASSET_CLASS,INDICES,2D,directional_range20_pos,le,0.16224623505642854,0.2,body_frac,ge,0.6679332619922931,0.6,9,0.010935601458080195,2,0.2222222222222222,2.4714714714714714,2,4,3,0.43201142857134983,-1.8405626785714504,1.4085512500001003,1,0.004219409282700422,1,1.0,8.172413793103448,0,1,0,0.0,-0.296142250000039,0.296142250000039,True,32.11327705767859
severe_mae_loss,ASSET_CLASS,INDICES,2D,signed_z30,le,-1.584970150101787,0.1,directional_range20_pos,le,0.05974317371358012,0.1,10,0.012150668286755772,2,0.2,3.359183673469388,3,3,4,0.5296759999999212,-1.5366349285714387,1.0069589285715175,3,0.012658227848101266,1,0.3333333333333333,4.388888888888888,0,2,1,0.0,-1.6464993571428568,1.6464993571428568,True,27.083418451247255
severe_mae_loss,ASSET_CLASS,INDICES,1D,signed_z30,le,-1.584970150101787,0.1,,,,,11,0.013365735115431349,2,0.18181818181818182,3.0538033395176254,3,3,5,0.5296759999999212,-1.5366349285714387,1.0069589285715175,4,0.016877637130801686,1,0.25,3.2916666666666665,1,2,1,0.4919173457143008,-1.6464993571428568,1.1545820114285559,True,20.10784163570814
severe_mae_loss,ASSET_CLASS,INDICES,1D,directional_range20_pos,le,0.05974317371358012,0.1,,,,,11,0.013365735115431349,2,0.18181818181818182,3.0538033395176254,3,3,5,0.5296759999999212,-1.5366349285714387,1.0069589285715175,5,0.02109704641350211,1,0.2,2.6333333333333333,1,2,2,0.5079927857143047,-1.6464993571428568,1.138506571428552,True,18.742948649041466
barely_developed_loss,STRATEGY_FAMILY,MEAN_REVERSION,2D,ema20_distance_stop_r,ge,-0.992822902443148,0.9,signed_mom6_atr,ge,-0.7380988593158307,0.9,6,0.007290400972053463,1,0.16666666666666666,1.8536036036036037,3,3,0,0.21105991071429098,-0.945342878571428,0.7342829678571371,2,0.008438818565400843,1,0.5,4.086206896551724,0,2,0,0.0,-0.7368214285714547,0.7368214285714547,True,17.970764650278554
severe_mae_loss,ASSET_CLASS,INDICES,2D,signed_z30,le,-1.584970150101787,0.1,ema20_distance_stop_r,le,-1.3944799985171072,0.1,9,0.010935601458080195,1,0.1111111111111111,1.8662131519274374,3,2,4,0.5296759999999212,-1.0611263571428935,0.5314503571429723,3,0.012658227848101266,1,0.3333333333333333,4.388888888888888,1,1,1,0.4919173457143008,-1.3520467857142648,0.860129439999964,True,15.755829606848078
severe_mae_loss,ASSET_CLASS,ENERGY,1D,signed_impulse_atr,ge,1.0793145255871763,0.9,,,,,8,0.009720534629404616,1,0.125,2.0994897959183674,1,4,3,0.629121428571386,-1.9203521428571508,1.2912307142857649,6,0.02531645569620253,1,0.16666666666666666,2.194444444444444,2,2,2,0.35726803571428833,-1.4935953571429286,1.1363273214286402,True,14.18859136337894
severe_mae_loss,ASSET_CLASS,INDICES,2D,directional_range20_pos,le,0.05974317371358012,0.1,ema20_distance_stop_r,le,-1.3944799985171072,0.1,8,0.009720534629404616,1,0.125,2.0994897959183674,3,2,3,0.5296759999999212,-1.0611263571428935,0.5314503571429723,4,0.016877637130801686,1,0.25,3.2916666666666665,1,1,2,0.5079927857143047,-1.3520467857142648,0.8440539999999601,True,13.746435486394553
severe_mae_loss,ASSET_CLASS,INDICES,1D,ema20_distance_stop_r,le,-1.3944799985171072,0.1,,,,,11,0.013365735115431349,1,0.09090909090909091,1.5269016697588127,3,3,5,0.5296759999999212,-1.5953637857142895,1.0656877857143683,5,0.02109704641350211,1,0.2,2.6333333333333333,2,1,2,0.9999101314286055,-1.3520467857142648,0.3521366542856593,True,7.915666084996829
barely_developed_loss,STRATEGY_FAMILY,ENSEMBLE_REGIME,1D,ema20_distance_stop_r,le,-0.72032177581198,0.2,,,,,74,0.0899149453219927,8,0.10810810810810811,1.202337472607743,25,13,36,19.34883453628707,-7.191824008214333,-12.15701052807274,23,0.0970464135021097,10,0.43478260869565216,3.553223388305847,4,13,6,5.241958000000551,-8.239479750000568,2.9975217500000158,False,57.30134949921947
