variant_index,config_id,stack,end_equity,delta_vs_r54,delta_vs_lane1b2,fresh_return_pct,fresh_max_dd_pct,max_weekly_dd_pct,executed_trades,wins,losses,flat,nonflat_win_rate,assets_with_selected,managed_executions,beats_lane1b2_end_equity,fresh_return_beats_incumbent,max_weekly_dd_not_worse_than_r54,fresh_dd_not_worse_than_r54,losses_below_r54,flats_below_r54,nonflat_win_rate_at_least_lane1b2,selected_asset_coverage_not_worse_than_r54,actual_full_universe_34x15x510,frontier_pass
4,B3_B4_B8,B3>B4>B8,345.3896887826546,7.9665645722153045,1.8449578571430152,7.261646557142409,-0.5196525640746019,-4.637645574907678,1119,470,228,421,0.673352435530086,33,16,True,False,True,True,True,True,True,True,False,False
5,B3_B5_B8,B3>B5>B8,345.3896887826546,7.9665645722153045,1.8449578571430152,7.261646557142409,-0.5196525640746019,-4.637645574907678,1119,470,228,421,0.673352435530086,33,16,True,False,True,True,True,True,True,True,False,False
3,B3_THEN_B8,B3>B8,345.0335010683688,7.610376857929509,1.48877014285722,7.261646557142409,-0.5196525640746019,-4.637645574907678,1119,467,231,421,0.669054441260745,33,13,True,False,True,True,False,True,True,True,False,False
10,B8_THEN_B3,B8>B3,344.76083678265456,7.337712572215253,1.2161058571429635,7.261646557142409,-0.5196525640746019,-4.637645574907678,1119,467,231,421,0.669054441260745,33,13,True,False,True,True,False,True,True,True,False,False
0,B3_ONLY,B3,343.5447309255116,6.121606715072289,0.0,7.261646557142409,-0.5196525640746019,-4.637645574907678,1126,467,233,426,0.6671428571428571,33,11,False,False,True,True,False,False,True,True,False,False
1,B3_THEN_B4,B3>B4,339.47498571658264,2.051861506143325,-4.069745208928964,7.261646557142409,-0.5196525640746019,-4.637645574907678,1125,469,230,426,0.670958512160229,33,14,False,False,True,True,True,False,True,True,False,False
2,B3_THEN_B5,B3>B5,339.47498571658264,2.051861506143325,-4.069745208928964,7.261646557142409,-0.5196525640746019,-4.637645574907678,1125,469,230,426,0.670958512160229,33,14,False,False,True,True,True,False,True,True,False,False
6,B3_B4_B5,B3>B4>B5,339.47498571658264,2.051861506143325,-4.069745208928964,7.261646557142409,-0.5196525640746019,-4.637645574907678,1125,469,230,426,0.670958512160229,33,14,False,False,True,True,True,False,True,True,False,False
7,B3_B5_B4,B3>B5>B4,339.47498571658264,2.051861506143325,-4.069745208928964,7.261646557142409,-0.5196525640746019,-4.637645574907678,1125,469,230,426,0.670958512160229,33,14,False,False,True,True,True,False,True,True,False,False
8,B4_THEN_B3,B4>B3,339.2989550022969,1.8758307918575952,-4.245775923214694,7.261646557142409,-0.5196525640746019,-4.637645574907678,1123,469,229,425,0.671919770773639,33,14,False,False,True,True,True,False,True,True,False,False
9,B5_THEN_B3,B5>B3,339.2989550022969,1.8758307918575952,-4.245775923214694,7.261646557142409,-0.5196525640746019,-4.637645574907678,1123,469,229,425,0.671919770773639,33,14,False,False,True,True,True,False,True,True,False,False
