mode,source,end_equity,fresh_return_pct,max_weekly_dd_pct,fresh_max_dd_pct,wins,losses,flat,nonflat_win_rate,assets_with_selected,frontier_pass,end_gt_lane5,fresh_gt_lane5,dd_ok,fresh_dd_ok,losses_ok,flats_ok,wr_ok,coverage_ok,scope_34x15x510
6C,r55-winner-c1,343.5447309255116,7.261646557142409,-4.637645574907678,-0.5196525640746019,467,233,426,0.6671428571428571,33,False,False,False,True,True,False,False,False,True,True
6C,r55-winner-c2,343.5447309255116,7.261646557142409,-4.637645574907678,-0.5196525640746019,467,233,426,0.6671428571428571,33,False,False,False,True,True,False,False,False,True,True
6B,r55-winner-b4,343.5447309255116,7.261646557142409,-4.637645574907678,-0.5196525640746019,467,233,426,0.6671428571428571,33,False,False,False,True,True,False,False,False,True,True
6C,r55-winner-c3,343.5447309255116,7.261646557142409,-4.637645574907678,-0.5196525640746019,467,233,426,0.6671428571428571,33,False,False,False,True,True,False,False,False,True,True
6B,r55-winner-b3,343.5447309255116,7.261646557142409,-4.637645574907678,-0.5196525640746019,467,233,426,0.6671428571428571,33,False,False,False,True,True,False,False,False,True,True
6C,r55-winner-c4,343.5447309255116,7.261646557142409,-4.637645574907678,-0.5196525640746019,467,233,426,0.6671428571428571,33,False,False,False,True,True,False,False,False,True,True
6B,r55-winner-b2,343.5447309255116,7.261646557142409,-4.637645574907678,-0.5196525640746019,467,233,426,0.6671428571428571,33,False,False,False,True,True,False,False,False,True,True
6B,r55-winner-b1,343.5447309255116,7.261646557142409,-4.637645574907678,-0.5196525640746019,467,233,426,0.6671428571428571,33,False,False,False,True,True,False,False,False,True,True
6D,r55-winner-d3,326.0480528672239,7.261646557142409,-4.637645574907678,-0.5196525640746019,430,222,399,0.6595092024539877,32,False,False,False,True,True,True,True,False,False,True
6D,r55-winner-d4,326.0480528672239,7.261646557142409,-4.637645574907678,-0.5196525640746019,430,222,399,0.6595092024539877,32,False,False,False,True,True,True,True,False,False,True
6D,r55-winner-d2,326.0480528672239,7.261646557142409,-4.637645574907678,-0.5196525640746019,430,222,399,0.6595092024539877,32,False,False,False,True,True,True,True,False,False,True
