feature,validation_median,fresh_median,median_delta,standardized_shift,validation_n,fresh_n
reliability_strategy_mean_r,0.03843813737767587,0.044170726155284536,0.005732588777608669,2.729551369128901,17,2
reliability_expected_r,0.11518704736569069,0.1263735870736653,0.011186539707974619,1.3552252761727208,17,2
body_frac,0.6133333333333314,0.07024265644939516,-0.5430906768839362,-1.2764612989534367,17,2
adverse_wick_frac,0.20851063829786168,0.744572158365332,0.5360615200674703,1.1722491068045684,17,2
reliability_asset_strategy_mean_r,0.18504721078017453,0.20194923930274944,0.016902028522574913,1.1262044634616684,17,2
trailing_giveback,0.7982069519604944,0.7644681046491901,-0.033738847311304276,-0.6471525726975761,17,2
signed_mom6_atr,-2.7637540453074076,-3.6775119617220415,-0.9137579164146339,-0.6238898051178114,17,2
signed_impulse_atr,0.18918918918904387,-0.25962012469159973,-0.4488093138806436,-0.4002778981950767,17,2
reliability_score,0.22655196166758704,0.23923190998491461,0.012679948317327577,0.39771194891578976,17,2
compression,0.9273927392738006,1.0651718425156775,0.13777910324187692,0.3711176298842151,17,2
expected_r,0.23030549163737632,0.2879830979523005,0.05767760631492416,0.3378145775806582,17,2
h1_strength,0.843804644569725,0.624886214112831,-0.21891843045689408,-0.32436929528219294,17,2
signed_z30,-2.181630975381607,-1.7172136412222123,0.4644173341593949,0.31338626121615626,17,2
signed_ret1_atr,-0.8138379126628329,-0.24904808619554225,0.5647898264672906,0.24263912963944181,17,2
reliability_asset_strategy_win,0.6932318950376908,0.6846886197652935,-0.008543275272397288,-0.16395940178986151,17,2
directional_range20_pos,-0.04716981132098237,0.048422687152655304,0.09559249847363768,0.11531793466660933,17,2
stability,0.26752574804380913,0.2760147471615694,0.008488999117760243,0.11430669598462868,17,2
rank_score,0.4666723294887845,0.47133530139992635,0.004662971911141844,0.1134126251766571,17,2
reliability_win,0.6093932676743716,0.6119666703479564,0.002573402673584746,0.08462862429506159,17,2
ema20_distance_stop_r,-1.988944696935649,-1.923747343306598,0.0651973536290511,0.056458394047968985,17,2
trailing_win_rate,0.6875,0.6880952380952381,0.0005952380952380931,0.004411764705882338,17,2
reliability_strategy_win,0.6379656195116288,0.6362767205065102,-0.0016888990051185937,-0.0026473197825479505,17,2
trend_alignment,1.0,1.0,0.0,0.0,17,2
cost_r,0.0,0.0,0.0,0.0,17,2
quality,0.58,0.58,0.0,0.0,17,2
stop_atr_ratio,1.15,1.15,0.0,0.0,17,2
