week_start,start_equity,end_equity,weekly_return_pct,campaigns_entered,campaigns_closed,max_drawdown_pct,ge5,ge10,source_promoted,v3_promoted_after_all_gates
2026-02-16,100.0,103.90699298482208,3.9069929848220886,84,84,-1.8752248173686148,False,False,107,106
2026-02-23,103.90699298482208,114.92056772741098,10.599454787607687,107,107,-1.1681951519988187,True,True,155,144
2026-03-02,114.92056772741098,123.86828495633841,7.78600158863747,76,76,-2.421579675857699,True,False,122,122
2026-03-09,123.86828495633841,134.5344404991942,8.610884978842993,87,87,-1.1797396557263307,True,False,195,170
2026-03-16,134.5344404991942,146.8207001220718,9.132427040458225,101,100,-1.320323256423328,True,False,166,143
2026-03-23,146.8207001220718,153.0508496227853,4.243372695766712,64,63,-1.13944808026194,False,False,108,106
2026-03-30,153.0508496227853,161.01437917180257,5.203191990534184,78,77,-1.3935614108522842,True,False,111,108
2026-04-06,161.01437917180257,177.43752692184557,10.19980192732941,65,64,-0.6385313634893919,True,True,103,96
2026-04-13,177.43752692184557,190.43768191961107,7.326609665548123,61,61,-0.7522691756246203,True,False,99,83
2026-04-20,190.43768191961107,209.7736303695212,10.153425653475633,74,72,-1.1183954985087508,True,True,113,107
2026-04-27,209.7736303695212,231.92869663032303,10.561416237958587,74,74,-0.6633206378710899,True,True,109,101
2026-05-04,231.92869663032303,258.40946585532015,11.417633785613646,135,133,-0.49221668499150883,True,True,185,167
2026-05-11,258.40946585532015,287.69702515933295,11.333779591654158,107,107,-1.334767945024784,True,True,136,131
2026-05-18,287.69702515933295,315.27183519459635,9.584669851901273,75,73,-0.9182736250816448,True,False,132,132
2026-05-25,315.27183519459635,348.58646925485766,10.566955351307673,90,88,-1.1373963354424754,True,True,140,133
2026-06-01,348.58646925485766,366.3693977227135,5.1014396817721686,74,74,-1.7306086940969467,True,False,124,120
2026-06-08,366.3693977227135,392.56623230485275,7.150388308896449,81,81,-1.1610626552463255,True,False,134,131
2026-06-15,392.56623230485275,426.1161416972582,8.54630547192652,62,61,-1.6847842209808728,True,False,128,116
2026-06-22,426.1161416972582,461.23186729948543,8.24088133867875,59,59,-0.8199083967976306,True,False,114,103
2026-06-29,461.23186729948543,506.87081290171415,9.895011346341898,72,72,-0.8353456885750843,True,False,111,105
2026-07-06,506.87081290171415,564.3423180959005,11.33849172833128,92,89,-0.8347634776590063,True,True,134,130
2026-07-13,564.3423180959005,619.8780900031932,9.84079522773893,85,85,-0.8527344673176507,True,False,155,147
2026-07-20,619.8780900031932,701.8569736891505,13.225001013592053,103,101,-0.9533256582059502,True,True,159,147
2026-07-27,701.8569736891505,770.0929536715017,9.722205882444168,83,83,-1.8166283140802486,True,False,136,118
2026-08-03,770.0929536715017,801.515634985695,4.080375124117452,29,29,-2.057588452823489,False,False,132,121
2026-08-10,801.515634985695,891.8805650248761,11.274256682565387,80,80,-0.8789713210950012,True,True,109,102
