window,start_week,end_week,compounded_return_pct,mean_week_pct,median_week_pct,positive_weeks,weeks_ge5,weeks_ge10,max_weekly_dd_pct
1,2026-02-16,2026-04-27,158.1040728326749,9.063399915029615,10.417339054800067,11,8,7,-2.6319940990574775
2,2026-02-23,2026-05-04,178.23999734058148,9.812562703571103,10.68946299963267,11,8,8,-2.6319940990574775
3,2026-03-02,2026-05-11,185.01938842140282,10.062098212494721,10.68946299963267,11,8,8,-2.6319940990574775
4,2026-03-09,2026-05-18,190.69913416742327,10.262130030826567,11.959476564806781,11,8,8,-2.6319940990574775
5,2026-03-16,2026-05-25,190.07909146530713,10.240420720028284,11.72067414602569,11,8,8,-1.8909650624989283
6,2026-03-23,2026-06-01,174.04226530316276,9.686724778944113,11.72067414602569,11,7,7,-1.8909650624989283
7,2026-03-30,2026-06-08,190.23016650281951,10.245380398145972,11.72067414602569,11,8,8,-1.8382434291703054
8,2026-04-06,2026-06-15,212.01459576630256,10.95586614813076,11.937803620087028,11,9,9,-1.8382434291703054
9,2026-04-13,2026-06-22,227.87188098278958,11.436504357910087,11.937803620087028,11,10,9,-1.8382434291703054
10,2026-04-20,2026-06-29,219.32785524539958,11.174280639777502,11.937803620087028,11,10,8,-2.9054127892704007
11,2026-04-27,2026-07-06,215.7205781380318,11.05783091157395,11.937803620087028,11,10,8,-2.9054127892704007
12,2026-05-04,2026-07-13,211.56829099917798,10.923207578216024,11.72067414602569,11,10,8,-2.9054127892704007
13,2026-05-11,2026-07-20,210.31771211002805,10.881656526131785,11.72067414602569,11,10,8,-2.9054127892704007
14,2026-05-18,2026-07-27,197.7795769046784,10.457776985710366,11.116588401378413,11,10,8,-2.9767136326240395
15,2026-05-25,2026-08-03,197.22453665270368,10.438694124255823,11.116588401378413,11,10,8,-2.9767136326240395
16,2026-06-01,2026-08-10,204.38652372187627,10.683425547785642,11.116588401378413,11,10,8,-2.9767136326240395
