week_start,start_equity,end_equity,weekly_return_pct,campaigns_entered,campaigns_closed,max_drawdown_pct,ge5,ge10
2026-02-16,100.0,105.63118845000001,5.631188450000013,85,85,-1.9246981267861618,True,False
2026-02-23,105.63118845000001,118.99975809357139,12.655892487567089,117,117,-1.3430421917887236,True,True
2026-03-02,118.99975809357139,131.3963663685706,10.417339054800067,93,93,-0.904305985989029,True,True
2026-03-09,131.3963663685706,147.11068401142745,11.959476564806781,121,121,-2.6319940990574775,True,True
2026-03-16,147.11068401142745,162.07134821035456,10.169665309805076,103,102,-1.8721104922373777,True,True
2026-03-23,162.07134821035456,168.60486633892526,4.0312604298760935,47,47,-1.8909650624989283,False,False
2026-03-30,168.60486633892526,175.55553513606782,4.122460370254366,50,50,-1.557782100601779,False,False
2026-04-06,175.55553513606782,182.62977256160312,4.02962938198006,32,32,-1.089817270133775,False,False
2026-04-13,182.62977256160312,202.151914525889,10.68946299963267,75,75,-1.0000425192518425,True,True
2026-04-20,202.151914525889,229.22729079338956,13.393578948287965,74,72,-1.8382434291703054,True,True
2026-04-27,229.22729079338956,258.10407283267483,12.597445068315594,95,95,-1.4386608789210942,True,True
2026-05-04,258.10407283267483,293.90821593410465,13.871979123956368,141,139,-0.8286544854183897,True,True
2026-05-11,293.90821593410465,339.17238274124594,15.4007830857269,129,129,-1.687114944655943,True,True
2026-05-18,339.17238274124594,381.96809936089005,12.617689056450354,115,114,-1.2145771240495762,True,True
2026-05-25,381.96809936089005,426.73733562874764,11.72067414602569,110,109,-1.4151832299532874,True,True
2026-06-01,426.73733562874764,444.14399404303254,4.079009957879176,54,54,-1.613013177899969,False,False
2026-06-08,444.14399404303254,489.34218430731926,10.176472241096546,65,65,-1.1710707720999025,True,True
2026-06-15,489.34218430731926,547.7588933001714,11.937803620087028,85,83,-1.445682146108196,True,True
2026-06-22,547.7588933001714,598.791670532319,9.31664968955268,77,77,-1.4674871472578177,True,False
2026-06-29,598.791670532319,645.5273729930349,7.80500210017423,79,79,-2.9054127892704007,True,False
2026-07-06,645.5273729930349,723.7177277430371,12.112631938048878,89,87,-0.8690226463080486,True,True
2026-07-13,723.7177277430371,804.1704487240389,11.116588401378413,87,87,-0.6047437890345009,True,True
2026-07-20,804.1704487240389,912.0492513901146,13.414917551029726,120,119,-1.6753993536292033,True,True
2026-07-27,912.0492513901146,1009.9860863043989,10.738108141091306,104,103,-2.9767136326240395,True,True
2026-08-03,1009.9860863043989,1135.3029134865442,12.407777580450375,85,85,-0.5490001439100611,True,True
2026-08-10,1135.3029134865442,1298.9309413437006,14.412719804853724,109,109,-0.49989550294660123,True,True
