window,start_week,end_week,compounded_return_pct,mean_week_pct,median_week_pct,positive_weeks,weeks_ge5,weeks_ge10,max_weekly_dd_pct
1,2026-02-16,2026-04-27,157.34514876285473,9.022674193884159,10.171922925281795,11,8,6,-1.9856138741797258
2,2026-02-23,2026-05-04,180.24907752086543,9.871738321366221,10.676564425055979,11,9,7,-1.9856138741797258
3,2026-03-02,2026-05-11,204.6374697894859,10.69577261470239,10.79310956927424,11,10,8,-1.9856138741797258
4,2026-03-09,2026-05-18,208.14110462281388,10.80966577464094,10.79310956927424,11,10,9,-1.9856138741797258
5,2026-03-16,2026-05-25,210.67436820766008,10.892382575526712,10.930617990822554,11,10,9,-1.9856138741797258
6,2026-03-23,2026-06-01,188.42203071763674,10.175003906957242,10.930617990822554,11,9,8,-2.669798710057736
7,2026-03-30,2026-06-08,185.62190832162898,10.077098352294158,10.79310956927424,11,9,7,-2.669798710057736
8,2026-04-06,2026-06-15,200.49856138797054,10.585389003834125,11.586449234799478,11,9,8,-2.669798710057736
9,2026-04-13,2026-06-22,222.21754748135584,11.270109750882996,11.741838575038832,11,10,9,-2.669798710057736
10,2026-04-20,2026-06-29,222.81395939432213,11.288752810500274,11.741838575038832,11,10,9,-2.669798710057736
11,2026-04-27,2026-07-06,222.51215477219492,11.279092403369773,11.741838575038832,11,10,9,-2.669798710057736
12,2026-05-04,2026-07-13,210.76007267279468,10.903347049544818,11.586449234799478,11,10,8,-2.669798710057736
13,2026-05-11,2026-07-20,212.1070616986275,10.948378251926341,11.586449234799478,11,10,8,-2.669798710057736
14,2026-05-18,2026-07-27,206.77637028902902,10.772575616625215,11.290073315062354,11,10,8,-2.669798710057736
15,2026-05-25,2026-08-03,210.04148902639588,10.87918747572811,11.357388270263868,11,10,8,-2.669798710057736
16,2026-06-01,2026-08-10,210.86376837686296,10.906091567964824,11.357388270263868,11,10,8,-2.669798710057736
