window,start_week,end_week,compounded_return_pct,mean_week_pct,median_week_pct,positive_weeks,weeks_ge5,weeks_ge10,max_weekly_dd_pct
1,2026-02-16,2026-04-27,110.00347393964157,7.028049173719131,5.571562264771246,11,6,3,-2.2556066333287106
2,2026-02-23,2026-05-04,125.48558490896689,7.740199515576993,5.571562264771246,11,6,4,-2.2556066333287106
3,2026-03-02,2026-05-11,125.31853484006122,7.733181390320781,5.571562264771246,11,6,4,-2.2556066333287106
4,2026-03-09,2026-05-18,128.60250582000052,7.879422895888291,5.571562264771246,11,6,4,-2.2556066333287106
5,2026-03-16,2026-05-25,146.92761806288576,8.638647516676265,8.805224260818534,11,7,5,-2.2556066333287106
6,2026-03-23,2026-06-01,145.1819136228886,8.571700172239987,8.805224260818534,11,7,5,-2.2556066333287106
7,2026-03-30,2026-06-08,160.60182262217157,9.175297965842772,11.92159802029229,11,7,6,-2.2556066333287106
8,2026-04-06,2026-06-15,181.93372340929784,9.951298204100201,11.981172534791341,11,8,7,-2.2115558955491554
9,2026-04-13,2026-06-22,198.46131144289174,10.506746413100096,11.981172534791341,11,9,8,-2.2115558955491554
10,2026-04-20,2026-06-29,204.7190307230517,10.714135116893571,11.981172534791341,11,9,9,-2.2115558955491554
11,2026-04-27,2026-07-06,209.55663913378092,10.877684249734866,11.981172534791341,11,9,9,-2.2115558955491554
12,2026-05-04,2026-07-13,205.7216315570334,10.751632952155154,11.981172534791341,11,9,9,-2.2115558955491554
13,2026-05-11,2026-07-20,204.2874143893591,10.702975536077167,11.981172534791341,11,9,9,-2.2115558955491554
14,2026-05-18,2026-07-27,225.3577493564856,11.35845459938663,11.981172534791341,11,10,10,-2.2115558955491554
15,2026-05-25,2026-08-03,226.37830219853066,11.390386639540734,12.211137994401856,11,10,10,-2.2115558955491554
16,2026-06-01,2026-08-10,232.5230587748921,11.582995699275763,12.211137994401856,11,10,10,-2.2115558955491554
