week_start,start_equity,end_equity,weekly_return_pct,campaigns_entered,campaigns_closed,max_drawdown_pct,ge5,ge10
2026-02-16,100.0,106.25776462857165,6.25776462857166,92,92,-1.922224536438466,True,False
2026-02-23,106.25776462857165,110.72523212857215,4.204368043706452,31,31,-1.3351225988334936,False,False
2026-03-02,110.72523212857215,122.21022451785724,10.372515973548758,93,93,-0.942292942537204,True,True
2026-03-09,122.21022451785724,127.32241091696413,4.183108589543516,53,53,-1.0280427565911299,False,False
2026-03-16,127.32241091696413,132.62635810696375,4.165760883571945,59,59,-1.7330030512672345,False,False
2026-03-23,132.62635810696375,140.01571822839173,5.571562264771246,67,66,-1.987900410517618,True,False
2026-03-30,140.01571822839173,146.00886531339154,4.280338779696047,76,75,-2.2556066333287106,False,False
2026-04-06,146.00886531339154,152.17840563678436,4.225455974985226,38,38,-1.1874224118885945,False,False
2026-04-13,152.17840563678436,165.57805552964135,8.805224260818534,68,68,-0.7908699238504013,True,False
2026-04-20,165.57805552964135,187.63444916285613,13.320843491404766,74,72,-1.8291411980189132,True,True
2026-04-27,187.63444916285613,210.0034739396415,11.92159802029229,93,93,-1.453911444507694,True,True
2026-05-04,210.0034739396415,239.59594208392812,14.091418389008158,138,136,-0.7059010955876466,True,True
2026-05-11,239.59594208392812,249.48447073035544,4.127168665888115,43,43,-1.0239446021075738,False,False
2026-05-18,249.48447073035544,279.3756356160703,11.981172534791341,109,108,-1.2100484329397032,True,True
2026-05-25,279.3756356160703,314.39419653749917,12.534579418211255,105,104,-1.4151932220616725,True,True
2026-06-01,314.39419653749917,325.1758427749987,3.4293400947728925,68,68,-2.2115558955491554,False,False
2026-06-08,325.1758427749987,364.88351366071305,12.211137994401856,71,71,-1.1364849233007734,True,True
2026-06-15,364.88351366071305,411.64823048571145,12.816341400527786,86,83,-1.4696511837216875,True,True
2026-06-22,411.64823048571145,454.19366519642995,10.33538627398407,77,77,-1.4523384340147882,True,True
2026-06-29,454.19366519642995,504.54784589999934,11.086500002546762,88,88,-0.9981215888470563,True,True
2026-07-06,504.54784589999934,580.83489468572,15.119883952658997,109,107,-1.1938170510103152,True,True
2026-07-13,580.83489468572,642.0260468547215,10.535033746915467,81,81,-1.3792457889159948,True,True
2026-07-20,642.0260468547215,729.060297149011,13.556186812150294,111,110,-1.4607093005828742,True,True
2026-07-27,729.060297149011,811.7170589622245,11.337438362292197,109,108,-1.1278126877530603,True,True
2026-08-03,811.7170589622245,911.8214562800836,12.3324249764865,85,85,-0.5460338178452484,True,True
2026-08-10,911.8214562800836,1045.4331989372376,14.653279075296588,112,112,-0.4996864349552488,True,True
