window,start_week,end_week,compounded_return_pct,mean_week_pct,median_week_pct,positive_weeks,weeks_ge5,weeks_ge10,max_weekly_dd_pct
1,2026-02-16,2026-04-27,155.7096455130322,8.968439489452363,10.417339054800067,11,8,7,-2.6319940990574775
2,2026-02-23,2026-05-04,175.4662080042454,9.71037089210263,10.68946299963267,11,8,8,-2.6319940990574775
3,2026-03-02,2026-05-11,180.6204721937526,9.901999159023283,10.68946299963267,11,8,8,-2.6319940990574775
4,2026-03-09,2026-05-18,183.5118932191265,10.005426789559628,11.552880386965825,11,8,8,-2.6319940990574775
5,2026-03-16,2026-05-25,180.07165543605134,9.881921558253232,10.68946299963267,11,8,8,-1.8959226802008677
6,2026-03-23,2026-06-01,165.8031550400714,9.371676839677871,10.68946299963267,11,7,7,-1.8959226802008677
7,2026-03-30,2026-06-08,181.4625606980736,9.928845035661482,10.68946299963267,11,8,8,-1.8959226802008677
8,2026-04-06,2026-06-15,202.3602233096198,10.63164028219769,11.552880386965825,11,9,9,-1.8959226802008677
9,2026-04-13,2026-06-22,220.48160394171538,11.198441782742549,11.552880386965825,11,10,10,-1.8959226802008677
10,2026-04-20,2026-06-29,213.05695721835178,10.965318159743138,11.552880386965825,11,10,9,-2.9030465229136992
11,2026-04-27,2026-07-06,187.69120517962605,10.13006108937624,10.600919020436406,11,9,8,-2.9030465229136992
12,2026-05-04,2026-07-13,186.54710554130963,10.089731354575346,10.600919020436406,11,9,8,-2.9030465229136992
13,2026-05-11,2026-07-20,185.49346149127018,10.051693273963533,10.600919020436406,11,9,8,-2.9030465229136992
14,2026-05-18,2026-07-27,176.52239297002538,9.72385454649567,10.600919020436406,11,9,8,-2.9030465229136992
15,2026-05-25,2026-08-03,178.60856262716314,9.800364130497927,10.600919020436406,11,9,8,-2.9030465229136992
16,2026-06-01,2026-08-10,188.24116451733425,10.147992492724084,11.109253304155997,11,9,8,-2.9030465229136992
