asset,trades,lots_opened,round_turn_lot_sides,movement_unit,signed_captured_movement,gross_traded_movement,net_pnl,wins,losses,flat
AUDJPY,59,0.7570000000000001,1.5140000000000002,pips,23.716607142871737,209.98374999999356,7.682503357142952,20,18,21
AUDUSD,64,1.093,2.186,pips,52.26835714285173,148.39192857142856,8.795304214284739,32,15,17
BNBUSD,33,16.44,32.88,raw_price_points,-2.7043428571431605,17.67858571428576,1.4193843392854884,14,8,11
BRENT,31,0.54,1.08,raw_price_points,-0.5689617857142366,3.841288214285669,-1.0724980714285377,13,9,9
BTCUSD,9,0.17,0.34,raw_price_points,283.159846428578,374.67520357143076,5.314151964285628,5,1,3
CADJPY,93,1.361,2.722,pips,121.92867857143597,169.29225000001225,14.863360571428789,43,8,42
ETHUSD,53,7.209999999999999,14.419999999999998,raw_price_points,33.98144285714261,230.08929999999873,1.7512498928570601,16,22,15
EURGBP,48,1.734,3.468,pips,1.3829285714272999,51.80221428571219,-0.7691764642858581,21,18,9
EURJPY,62,0.6060000000000001,1.2120000000000002,pips,-19.118214285717272,153.48035714286823,2.2440282142854433,15,14,33
EURUSD,26,0.6320000000000001,1.2640000000000002,pips,-23.48539285714324,43.77317857143126,-1.7001271428551616,7,10,9
GBPCHF,68,1.511,3.022,pips,125.11417857144603,247.49060714285727,28.510008250002944,33,19,16
GBPJPY,45,0.44000000000000006,0.8800000000000001,pips,40.933285714282874,208.66900000000328,5.565001285713523,19,13,13
GBPUSD,26,0.37200000000000005,0.7440000000000001,pips,-44.14167857142548,56.35189285714049,-2.4199874999997193,5,9,12
GER40,69,2.1799999999999997,4.359999999999999,raw_price_points,218.8007789285839,849.0207932142876,4.7334473678577424,26,18,25
JP225,4,0.04,0.08,raw_price_points,-35.77859928572434,221.8721649999934,-0.35778599285724355,1,2,1
NATGAS,70,70.6,141.2,raw_price_points,0.0873088928571395,0.3528767499999983,15.469338857142445,29,19,22
NZDUSD,89,2.269,4.538,pips,68.5966428571394,168.89307142857746,19.68393692857086,40,23,26
SOLUSD,23,96.95999999999998,193.91999999999996,raw_price_points,0.15870357142857472,2.261560714285693,0.08528544642862756,10,6,7
UK100,37,4.029999999999999,8.059999999999999,raw_price_points,-25.452533928579214,158.0143589285799,-0.15664079642892847,9,12,16
US100,40,0.8200000000000001,1.6400000000000001,raw_price_points,12.276710000020103,568.6026814285651,-0.7847256499997679,14,11,15
US30,25,0.38,0.76,raw_price_points,33.71650285711803,355.23773142856953,0.6044013499997964,8,5,12
US500,29,2.65,5.3,raw_price_points,23.053556785712317,148.43263535713868,3.281987939285445,11,11,7
USDCAD,45,0.7290000000000001,1.4580000000000002,pips,-2.347607142862973,89.165964285709,0.646078500000338,18,14,13
USDCHF,65,1.6790000000000003,3.3580000000000005,pips,66.7226428571488,134.68764285714306,14.458122250001349,29,16,20
USDJPY,50,0.7990000000000002,1.5980000000000003,pips,0.0159642857028075,129.3088214285632,0.15699257142822975,19,18,13
V10,13,2.7420000000000004,5.484000000000001,raw_price_points,1.0599371428561426,16.423772857142467,0.33484248732118593,4,3,6
V100,15,3.6660000000000004,7.332000000000001,raw_price_points,2.235639285714285,11.576925000000017,1.8120945035714326,6,2,7
V25,17,2.056,4.112,raw_price_points,-11.764812857141806,29.53152285714168,-1.7767358999999951,2,6,9
V50,12,22.946,45.892,raw_price_points,-0.48350610714282993,1.708344607142834,0.1941808293249987,6,4,2
V75,21,0.044000000000000004,0.08800000000000001,raw_price_points,499.07946660714515,2243.71027874999,1.3148004011071464,5,5,11
WTI,37,0.7300000000000002,1.4600000000000004,raw_price_points,-2.083108214285744,5.038348928571423,-2.2323641071429225,10,13,14
XAGUSD,18,0.49999999999999994,0.9999999999999999,raw_price_points,0.0571439285714348,1.453736785714284,1.3462127142857288,8,5,5
XRPUSD,1,46.0,92.0,raw_price_points,0.0,0.0,0.0,0,0,1
